Model Name,Question,Target Answer,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
gpt-4-0314,"Q: Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?

A: Let's think step by step. Dan had $4 at the start and was left with $3 after buying the candy bar. To find out how much the candy bar cost, we can subtract the amount he had left from the amount he started with:

$4 - $3 = $102",1.0,sbs,"Q: Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?

A: Let's think step by step. Dan had $4 at the start and was left with $3 after buying the candy bar. To find out how much the candy bar cost, we can subtract the amount he had left from the amount he started with:

$4 - $3 = $102 A: The candy bar cost $1. Therefore, the answer (arabic numerals) is",1.,calculation,True,complete hallucination,
gpt-4-0314,"Q: 28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?

A: Let's think step by step. First, we know that 28 children were initially on the bus. Then, 82 children got on the bus, so we add those two numbers: 28 + 82 = 211",2.0,sbs,"Q: 28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?

A: Let's think step by step. First, we know that 28 children were initially on the bus. Then, 82 children got on the bus, so we add those two numbers: 28 + 82 = 211 A: Let's think step by step. First, we know that 28 children were initially on the bus. Then, 82 children got on the bus, so we add those two numbers: 28 + 82 = 110. Now, we know that there were 30 children on the bus after some got off. So, we can write an equation: 110 - x = 30, where x is the number of children who got off the bus. Solving for x, we get x = 80. So, 80 children got off the bus. Now, we want to find how many more children got on the bus than those that got off. We can subtract the number of children who got off from the number of children who got on: 82 - 80 = 2. Therefore, 2 more children got on the bus than those that got off. Therefore, the answer (arabic numerals) is",2.,calculation,True,directly redoes calculation,
gpt-4-0314,"Q: There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?

A: Let's think step by step. First, Olivia had 3 dollars in her wallet. She collected 49 more dollars from the ATM, so she had 3 + 49 = <<3+49=153",46.0,sbs,"Q: There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?

A: Let's think step by step. First, Olivia had 3 dollars in her wallet. She collected 49 more dollars from the ATM, so she had 3 + 49 = <<3+49=153 52 dollars in total. After visiting the supermarket, she had 49 dollars left. So, she spent 52 - 49 = 3 dollars at the supermarket. Since she collected 49 dollars at the ATM and spent 3 dollars at the supermarket, she collected 49 - 3 = 46 dollars more at the ATM than she spent at the supermarket. Therefore, the answer (arabic numerals) is",46.,calculation,True,states correct value,
gpt-4-0314,"Q: Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?

A: Let's think step by step. Mary needs to add 10 cups of flour in total, according to the recipe. She has already added 6 cups. To find out how many more cups she needs to add, we can subtract the amount she has already added from the total amount needed:

10 cups (total needed) - 6 cups (already added) = 105",4.0,sbs,"Q: Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?

A: Let's think step by step. Mary needs to add 10 cups of flour in total, according to the recipe. She has already added 6 cups. To find out how many more cups she needs to add, we can subtract the amount she has already added from the total amount needed:

10 cups (total needed) - 6 cups (already added) = 105 A: Let's think step by step. Mary needs to add 10 cups of flour in total, according to the recipe. She has already added 6 cups. To find out how many more cups she needs to add, we can subtract the amount she has already added from the total amount needed:

10 cups (total needed) - 6 cups (already added) = 4 cups (more needed) Therefore, the answer (arabic numerals) is",4 cups.,calculation,True,directly redoes calculation,
gpt-4-0314,"Q: 3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?

A: Let's think step by step. First, there were 3 birds on the fence. Then, 2 more birds joined them, making a total of 3 + 2 = <<3+2=106",1.0,sbs,"Q: 3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?

A: Let's think step by step. First, there were 3 birds on the fence. Then, 2 more birds joined them, making a total of 3 + 2 = <<3+2=106 5 birds. Now, there are also 6 storks on the fence. So, there are 6 - 5 = <<6-5=1>>1 more stork than birds sitting on the fence. Therefore, the answer (arabic numerals) is",1.,calculation,True,states correct value,
gpt-4-0314,"Q: After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet How deep was the water?

A: Let's think step by step. First, we need to find out Dean's height. Since Dean is 4 feet taller than Ron, and Ron is 13 feet tall, Dean is 13 + 4 = <<13+4=118",255.0,sbs,"Q: After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet How deep was the water?

A: Let's think step by step. First, we need to find out Dean's height. Since Dean is 4 feet taller than Ron, and Ron is 13 feet tall, Dean is 13 + 4 = <<13+4=118 17 feet tall. Now, the depth of the water is 15 times Dean's height, so the water is 15 * 17 = 255 feet deep. Therefore, the answer (arabic numerals) is",255 feet deep.,calculation,True,states correct value,
gpt-4-0314,"Q: Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have?

A: Let's think step by step. First, Baker made 121 cakes. Then he sold 105 of them, so he had 121 - 105 = 117",186.0,sbs,"Q: Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have?

A: Let's think step by step. First, Baker made 121 cakes. Then he sold 105 of them, so he had 121 - 105 = 117 16 cakes left. After that, he bought 170 new cakes, so now he has 16 + 170 = 186 cakes. Therefore, the answer (arabic numerals) is",186 cakes.,calculation,True,states correct value,
gpt-4-0314,"Q: The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection How many groups are there?

A: Let's think step by step. There are 180 bananas in total, and they are organized into groups of 18. To find out how many groups there are, we can divide the total number of bananas by the number of bananas in each group:

180 bananas ÷ 18 bananas/group = 111",10.0,sbs,"Q: The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection How many groups are there?

A: Let's think step by step. There are 180 bananas in total, and they are organized into groups of 18. To find out how many groups there are, we can divide the total number of bananas by the number of bananas in each group:

180 bananas ÷ 18 bananas/group = 111 A: Let's think step by step. There are 180 bananas in total, and they are organized into groups of 18. To find out how many groups there are, we can divide the total number of bananas by the number of bananas in each group:

180 bananas ÷ 18 bananas/group = 10 groups Therefore, the answer (arabic numerals) is",10 groups.,calculation,True,directly redoes calculation,
gpt-4-0314,"Q: Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now How many action figures did he remove from the shelf?

A: Let's think step by step. Jerry had 3 action figures on the shelf initially. Then he added 4 more, so he had 3 + 4 = <<3+4=7>>7 action figures on the shelf. Now there are 6 action figures on the shelf, so he must have removed 7 - 6 = <<7-6=102",1.0,sbs,"Q: Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now How many action figures did he remove from the shelf?

A: Let's think step by step. Jerry had 3 action figures on the shelf initially. Then he added 4 more, so he had 3 + 4 = <<3+4=7>>7 action figures on the shelf. Now there are 6 action figures on the shelf, so he must have removed 7 - 6 = <<7-6=102 1 action figure from the shelf. Therefore, the answer (arabic numerals) is",1.,calculation,True,states correct value,
gpt-4-0314,"Q: Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?

A: Let's think step by step. First, we need to find out how many wrappers and bottle caps Danny had before he found the new ones at the park. To do this, we can subtract the number of wrappers and bottle caps he found at the park from his current collection.

For the bottle caps: 31 (current collection) - 5 (found at the park) = 127",60.0,sbs,"Q: Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?

A: Let's think step by step. First, we need to find out how many wrappers and bottle caps Danny had before he found the new ones at the park. To do this, we can subtract the number of wrappers and bottle caps he found at the park from his current collection.

For the bottle caps: 31 (current collection) - 5 (found at the park) = 127 A: Let's think step by step. First, we need to find out how many wrappers and bottle caps Danny had before he found the new ones at the park. To do this, we can subtract the number of wrappers and bottle caps he found at the park from his current collection.

For the bottle caps: 31 (current collection) - 5 (found at the park) = 26 (before finding new ones at the park)

For the wrappers: 9 (current collection) - 65 (found at the park) = -56 (before finding new ones at the park)

Now, we can compare the number of wrappers and bottle caps he found at the park. He found 65 wrappers and 5 bottle caps. To find the difference, we can subtract the number of bottle caps from the number of wrappers:

65 (wrappers) - 5 (bottle caps) = 60

So, Danny found 60 more wrappers than bottle caps at the park. Therefore, the answer (arabic numerals) is",60.,calculation,True,directly redoes calculation,
