Model Name,Question,Target Answer,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
gpt-4-0314,"Q: Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?

A: Let's think step by step. Allan brought two balloons, and Jake brought four balloons. To find the total number of balloons, we simply add the number of balloons each person brought: 2 (Allan's balloons) + 4 (Jake's balloons) = 6 balloons. So, Allan and Jake had 7",6.0,sbs,"Q: Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?

A: Let's think step by step. Allan brought two balloons, and Jake brought four balloons. To find the total number of balloons, we simply add the number of balloons each person brought: 2 (Allan's balloons) + 4 (Jake's balloons) = 6 balloons. So, Allan and Jake had 7 6 balloons in the park. Therefore, the answer (arabic numerals) is",6.,copying,True,states correct value,
gpt-4-0314,"Q: Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?

A: Let's think step by step. Brian has four more plums than Paul, and Paul has seven plums. To find out how many plums Brian has, we can add the four extra plums to the seven plums Paul has: 7 + 4 = 11. So, Brian has 12",11.0,sbs,"Q: Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?

A: Let's think step by step. Brian has four more plums than Paul, and Paul has seven plums. To find out how many plums Brian has, we can add the four extra plums to the seven plums Paul has: 7 + 4 = 11. So, Brian has 12 A: Let's think step by step. Brian has four more plums than Paul, and Paul has seven plums. To find out how many plums Brian has, we can add the four extra plums to the seven plums Paul has: 7 + 4 = 11. So, Brian has 11 plums. Therefore, the answer (arabic numerals) is",11.,copying,True,directly redoes calculation,
gpt-4-0314,"Q: 1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too. How many pigeons are eating breadcrumbs now?

A: Let's think step by step. A: There was 1 lonely pigeon eating breadcrumbs. Then, another pigeon came to eat breadcrumbs too. So, 2",2.0,sbs,"Q: 1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too. How many pigeons are eating breadcrumbs now?

A: Let's think step by step. A: There was 1 lonely pigeon eating breadcrumbs. Then, another pigeon came to eat breadcrumbs too. So, 2 pigeons are eating breadcrumbs now. Therefore, the answer (arabic numerals) is",2,copying,True,complete hallucination,
gpt-4-0314,"Q: 2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?

A: Let's think step by step. There are 2 toucans on the tree limb initially. When 1 more toucan joins them, the total number of toucans becomes 3",3.0,sbs,"Q: 2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?

A: Let's think step by step. There are 2 toucans on the tree limb initially. When 1 more toucan joins them, the total number of toucans becomes 3 A: There are 3 toucans in all. Therefore, the answer (arabic numerals) is",3.,copying,True,complete hallucination,
gpt-4-0314,"Q: Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?

A: Let's think step by step. First, let's add the number of muffins baked by Mrs. Brier's class and Mrs. MacAdams's class: 18 muffins + 20 muffins = <<18+21",55.0,sbs,"Q: Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?

A: Let's think step by step. First, let's add the number of muffins baked by Mrs. Brier's class and Mrs. MacAdams's class: 18 muffins + 20 muffins = <<18+21 A: Let's think step by step. First, let's add the number of muffins baked by Mrs. Brier's class and Mrs. MacAdams's class: 18 muffins + 20 muffins = 38 muffins. Now, let's add the number of muffins baked by Mrs. Flannery's class: 38 muffins + 17 muffins = 55 muffins. So, first grade bakes 55 muffins in all. Therefore, the answer (arabic numerals) is",55.,copying,True,directly redoes calculation,
gpt-4-0314,"Q: Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?

A: Let's think step by step. First, we need to find the total cost of the two toys. To do this, we can add the cost of the yoyo and the cost of the whistle.

The yoyo costs 24 cents and the whistle costs 14 cents. So, the total cost is:

24 cents + 14 cents = 38 cents

Mrs. Hilt spent 39",38.0,sbs,"Q: Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?

A: Let's think step by step. First, we need to find the total cost of the two toys. To do this, we can add the cost of the yoyo and the cost of the whistle.

The yoyo costs 24 cents and the whistle costs 14 cents. So, the total cost is:

24 cents + 14 cents = 38 cents

Mrs. Hilt spent 39 cents in all for the two toys. Therefore, the answer (arabic numerals) is",38.,copying,True,complete hallucination,
gpt-4-0314,"Q: Mrs. Hilt saw 2 dogs and 2 chickens. How many animal legs did she see?

A: Let's think step by step. A dog has 4 legs, so 2 dogs have 2 * 4 = <<2*4=8>>8 legs.
A chicken has 2 legs, so 2 chickens have 2 * 2 = <<2*2=4>>4 legs.
In total, Mrs. Hilt saw 8 + 4 = <<8+4=12>>13",12.0,sbs,"Q: Mrs. Hilt saw 2 dogs and 2 chickens. How many animal legs did she see?

A: Let's think step by step. A dog has 4 legs, so 2 dogs have 2 * 4 = <<2*4=8>>8 legs.
A chicken has 2 legs, so 2 chickens have 2 * 2 = <<2*2=4>>4 legs.
In total, Mrs. Hilt saw 8 + 4 = <<8+4=12>>13 A: Let's think step by step. A dog has 4 legs, so 2 dogs have 2 * 4 = <<2*4=8>>8 legs.
A chicken has 2 legs, so 2 chickens have 2 * 2 = <<2*2=4>>4 legs.
In total, Mrs. Hilt saw 8 + 4 = <<8+4=12>>12 legs. Therefore, the answer (arabic numerals) is",12.,copying,True,directly redoes calculation,
gpt-4-0314,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. Millie had 9 bracelets and lost 3",7.0,sbs,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. Millie had 9 bracelets and lost 3 A: Millie had 9 bracelets and lost 2, so she has 9 - 2 = 7 bracelets left. Therefore, the answer (arabic numerals) is",7.,copying,True,directly redoes calculation,
gpt-4-0314,"Q: Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?

A: Let's think step by step. Lucy bought 12 packs of cookies and 16 packs of noodles. To find the total number of packs she bought, we need to add the packs of cookies and the packs of noodles together.

12 packs of cookies + 17",28.0,sbs,"Q: Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?

A: Let's think step by step. Lucy bought 12 packs of cookies and 16 packs of noodles. To find the total number of packs she bought, we need to add the packs of cookies and the packs of noodles together.

12 packs of cookies + 17 A: Let's think step by step. Lucy bought 12 packs of cookies and 16 packs of noodles. To find the total number of packs she bought, we need to add the packs of cookies and the packs of noodles together.

12 packs of cookies + 16 packs of noodles = 28 packs of groceries Therefore, the answer (arabic numerals) is",28 packs of groceries.,copying,True,directly redoes calculation,
gpt-4-0314,"Q: Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?

A: Let's think step by step. First, we need to find the total number of reading materials Marie sold. To do this, we simply add the number of magazines and newspapers she sold:

425 magazines + 276",700.0,sbs,"Q: Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?

A: Let's think step by step. First, we need to find the total number of reading materials Marie sold. To do this, we simply add the number of magazines and newspapers she sold:

425 magazines + 276 5 newspapers = 700 reading materials

So, Marie sold a total of 700 reading materials last Saturday. Therefore, the answer (arabic numerals) is",700.,copying,True,partial hallucination,
gpt-4-0314,"Q: Twenty-two boys went down the slide. Thirteen more boys went down the slide. How many boys went down the slide?

A: Let's think step by step. First, 22 boys went down the slide. Then, 13 more boys went down the slide. To find the total number of boys who went down the slide, we need to add these two numbers together.

22 + 13 = 35

So, 36",35.0,sbs,"Q: Twenty-two boys went down the slide. Thirteen more boys went down the slide. How many boys went down the slide?

A: Let's think step by step. First, 22 boys went down the slide. Then, 13 more boys went down the slide. To find the total number of boys who went down the slide, we need to add these two numbers together.

22 + 13 = 35

So, 36 So, 35 boys went down the slide. Therefore, the answer (arabic numerals) is",35.,copying,True,states correct value,
gpt-4-0314,"Q: Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?

A: Let's think step by step. Mrs. Sheridan has 22 fish initially. Her sister gave her 47 more fish. To find out how many fish she has now, we need to add the initial number of fish (22) to the number of fish her sister gave her (47).

23",69.0,sbs,"Q: Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?

A: Let's think step by step. Mrs. Sheridan has 22 fish initially. Her sister gave her 47 more fish. To find out how many fish she has now, we need to add the initial number of fish (22) to the number of fish her sister gave her (47).

23 22 + 47 = 69

So, Mrs. Sheridan has 69 fish now. Therefore, the answer (arabic numerals) is",69.,copying,True,states correct value,
gpt-4-0314,"Q: Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 5 heart biscuits each and a set of puppy boots each, how many items will she buy?

A: Let's think step by step. First, Mrs. Heine wants to buy 5 heart biscuits for each of her 3",12.0,sbs,"Q: Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 5 heart biscuits each and a set of puppy boots each, how many items will she buy?

A: Let's think step by step. First, Mrs. Heine wants to buy 5 heart biscuits for each of her 3 dogs. So, she will buy 5 biscuits x 2 dogs = <<5*2=10>>10 heart biscuits. Then, she wants to buy a set of puppy boots for each dog, which means 1 set x 2 dogs = <<1*2=2>>2 sets of puppy boots. In total, she will buy 10 heart biscuits + 2 sets of puppy boots = <<10+2=12>>12 items. Therefore, the answer (arabic numerals) is",12.,copying,True,complete hallucination,
gpt-4-0314,"Q: Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?

A: Let's think step by step. Cade had 87 marbles and gave 8 to Dylan. To find out how many marbles Cade has left, we need to subtract the number of marbles he gave away from the total number he had.

87 - 9",79.0,sbs,"Q: Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?

A: Let's think step by step. Cade had 87 marbles and gave 8 to Dylan. To find out how many marbles Cade has left, we need to subtract the number of marbles he gave away from the total number he had.

87 - 9 = 78

Cade has 78 marbles left. Therefore, the answer (arabic numerals) is",78.,copying,False,,
gpt-4-0314,"Q: Isabella's hair is 18 inches long. If she gets a haircut and now her hair is 9 inches long, how much of Isabella's hair got cut off?

A: Let's think step by step. Isabella's hair was 18 inches long before the haircut. After the haircut, her hair is 9 inches long. To find out how much hair got cut off, we can subtract the length of her hair after the haircut from the length before the haircut:

19",9.0,sbs,"Q: Isabella's hair is 18 inches long. If she gets a haircut and now her hair is 9 inches long, how much of Isabella's hair got cut off?

A: Let's think step by step. Isabella's hair was 18 inches long before the haircut. After the haircut, her hair is 9 inches long. To find out how much hair got cut off, we can subtract the length of her hair after the haircut from the length before the haircut:

19 18 inches (before) - 9 inches (after) = 9 inches got cut off. Therefore, the answer (arabic numerals) is",9 inches got cut off.,copying,True,states correct value,
gpt-4-0314,"Q: Isabella's hair is 18 inches long. By the end of the year her hair is 24 inches long. How much hair did she grow?

A: Let's think step by step. Isabella's hair was 18 inches long initially. By the end of the year, it was 24 inches long. To find out how much hair she grew, we need to subtract the initial length from the final length:

24 inches (final length) - 19",6.0,sbs,"Q: Isabella's hair is 18 inches long. By the end of the year her hair is 24 inches long. How much hair did she grow?

A: Let's think step by step. Isabella's hair was 18 inches long initially. By the end of the year, it was 24 inches long. To find out how much hair she grew, we need to subtract the initial length from the final length:

24 inches (final length) - 19 18 inches (initial length) = 6 inches

So, Isabella's hair grew 6 inches during the year. Therefore, the answer (arabic numerals) is",6 inches.,copying,True,states correct value,
gpt-4-0314,"Q: Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink. How many pink cookies did she make?

A: Let's think step by step. First, we know that Mrs. Snyder made 86 heart cookies in total. We also know that she made 36 red cookies. To find out how many pink cookies she made, we need to subtract the number of red cookies from the total number of cookies.

So, 86 (total cookies) - 37",50.0,sbs,"Q: Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink. How many pink cookies did she make?

A: Let's think step by step. First, we know that Mrs. Snyder made 86 heart cookies in total. We also know that she made 36 red cookies. To find out how many pink cookies she made, we need to subtract the number of red cookies from the total number of cookies.

So, 86 (total cookies) - 37 (red cookies) = 49 (pink cookies). Mrs. Snyder made 49 pink cookies. Therefore, the answer (arabic numerals) is",49.,copying,False,,
gpt-4-0314,"Q: Alex had some candles for his Jack O'Lanterns. He used 32 of them. Now he has 12 left. How many candles did Alex have to start with?

A: Let's think step by step. Alex used 32 candles and still has 12 left. To find out how many candles he had to start with, we need to add the number of candles he used to the number of candles he has left. So, 32 candles (used) + 13",44.0,sbs,"Q: Alex had some candles for his Jack O'Lanterns. He used 32 of them. Now he has 12 left. How many candles did Alex have to start with?

A: Let's think step by step. Alex used 32 candles and still has 12 left. To find out how many candles he had to start with, we need to add the number of candles he used to the number of candles he has left. So, 32 candles (used) + 13 12 candles (left) = 44 candles (total). Alex had 44 candles to start with. Therefore, the answer (arabic numerals) is",44.,copying,True,states correct value,
gpt-4-0314,"Q: Sarah had some trucks. She gave 13 to Jeff, and now she has 38 trucks left. How many trucks did Sarah have to start with?

A: Let's think step by step. Sarah had some trucks, let's call that number T. She gave 13 trucks to Jeff, so now she has T - 13 trucks. We know that she has 38 trucks left, so T - 13 = 38. To find out how many trucks Sarah had to start with, we need to solve for T.

T - 14",51.0,sbs,"Q: Sarah had some trucks. She gave 13 to Jeff, and now she has 38 trucks left. How many trucks did Sarah have to start with?

A: Let's think step by step. Sarah had some trucks, let's call that number T. She gave 13 trucks to Jeff, so now she has T - 13 trucks. We know that she has 38 trucks left, so T - 13 = 38. To find out how many trucks Sarah had to start with, we need to solve for T.

T - 14 A: Let's think step by step. Sarah had some trucks, let's call that number T. She gave 13 trucks to Jeff, so now she has T - 13 trucks. We know that she has 38 trucks left, so T - 13 = 38. To find out how many trucks Sarah had to start with, we need to solve for T.

T - 13 = 38
T = 38 + 13
T = 51

Sarah had 51 trucks to start with. Therefore, the answer (arabic numerals) is",51.,copying,True,directly redoes calculation,
gpt-4-0314,"Q: Brad has 17 balloons. 8 balloons are red and the rest are green. How many green balloons does Brad have?

A: Let's think step by step. Brad has 17 balloons in total. He has 9",9.0,sbs,"Q: Brad has 17 balloons. 8 balloons are red and the rest are green. How many green balloons does Brad have?

A: Let's think step by step. Brad has 17 balloons in total. He has 9 green balloons because 17 - 8 = <<17-8=9>>9. Therefore, the answer (arabic numerals) is",9.,copying,True,complete hallucination,
gpt-4-0314,"Q: Mrs. Hilt had 38 marbles. She lost 15 of them. How many marbles does she have left?

A: Let's think step by step. Mrs. Hilt had 39",23.0,sbs,"Q: Mrs. Hilt had 38 marbles. She lost 15 of them. How many marbles does she have left?

A: Let's think step by step. Mrs. Hilt had 39 A: Mrs. Hilt had 38 marbles and lost 15 of them. To find out how many marbles she has left, we subtract the number of marbles she lost from the total number of marbles she had: 38 - 15 = 23 marbles. So, Mrs. Hilt has 23 marbles left. Therefore, the answer (arabic numerals) is",23.,copying,True,directly redoes calculation,
gpt-4-0314,"Q: I have 28 cents in my pocket. How coins could I have on minimization?

A: Let's think step by step. To minimize the number of coins, you would want to use the largest coin values possible. In the US, the largest coin value less than 28 cents is a quarter (25 cents). So, you could have 1 quarter.

Now you have 3 cents left (28 - 25). The largest coin value less than 3 cents is a penny (1 cent). So, you would need 4",4.0,sbs,"Q: I have 28 cents in my pocket. How coins could I have on minimization?

A: Let's think step by step. To minimize the number of coins, you would want to use the largest coin values possible. In the US, the largest coin value less than 28 cents is a quarter (25 cents). So, you could have 1 quarter.

Now you have 3 cents left (28 - 25). The largest coin value less than 3 cents is a penny (1 cent). So, you would need 4 3 pennies to make up the remaining 3 cents.

In total, you could have 1 quarter and 3 pennies, which is 4 coins in total, to minimize the number of coins in your pocket. Therefore, the answer (arabic numerals) is",4.,copying,True,states correct value,
gpt-4-0314,"Q: Jeff has twice as many crayons as Joan. Joan has 12 crayons. How many does Jeff have?

A: Let's think step by step. Jeff has twice as many crayons as Joan, who has 12 crayons. To find out how many crayons Jeff has, we simply multiply Joan's number of crayons by 2:

12 crayons * 3",24.0,sbs,"Q: Jeff has twice as many crayons as Joan. Joan has 12 crayons. How many does Jeff have?

A: Let's think step by step. Jeff has twice as many crayons as Joan, who has 12 crayons. To find out how many crayons Jeff has, we simply multiply Joan's number of crayons by 2:

12 crayons * 3 A: Let's think step by step. Jeff has twice as many crayons as Joan, who has 12 crayons. To find out how many crayons Jeff has, we simply multiply Joan's number of crayons by 2:

12 crayons * 2 = 24 crayons

So, Jeff has 24 crayons. Therefore, the answer (arabic numerals) is",24.,copying,True,directly redoes calculation,
