Question,Target Answer,Model Name,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
"Q: Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?

A: Let's think step by step. 1. Marin has 9 balls.
2. Ellen has 6 more balls than Marin.
3. To find out how many balls Ellen has, we need to add 6 to Marin's number of balls.
4. 9 + 9",15,gpt-3.5-turbo-0301,sbs,"Q: Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?

A: Let's think step by step. 1. Marin has 9 balls.
2. Ellen has 6 more balls than Marin.
3. To find out how many balls Ellen has, we need to add 6 to Marin's number of balls.
4. 9 + 9 = 15
5. Therefore, Ellen has 15 balls. Therefore, the answer (arabic numerals) is",15,copying,TRUE,complete hallucination,
"Q: 4 birds are sitting on a branch. 1 flies away. How many birds are left on the branch?

A: Let's think step by step. Initially, there are 4 birds on the branch. 

One bird flies away, which means it is no longer on the branch. 

Therefore, the number of birds left on the branch is: 

1",3,gpt-3.5-turbo-0301,sbs,"Q: 4 birds are sitting on a branch. 1 flies away. How many birds are left on the branch?

A: Let's think step by step. Initially, there are 4 birds on the branch. 

One bird flies away, which means it is no longer on the branch. 

Therefore, the number of birds left on the branch is: 

1 bird. Therefore, the answer (arabic numerals) is",1,copying,FALSE,,
"Q: Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?

A: Let's think step by step. Mrs. Hilt ran 3 miles on Monday. 

Mrs. Hilt ran 2 miles on Wednesday. 

Mrs. Hilt ran 7 miles on Friday. 

To find the total miles she ran that week, we need to add up these distances: 

0",12,gpt-3.5-turbo-0301,sbs,"Q: Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?

A: Let's think step by step. Mrs. Hilt ran 3 miles on Monday. 

Mrs. Hilt ran 2 miles on Wednesday. 

Mrs. Hilt ran 7 miles on Friday. 

To find the total miles she ran that week, we need to add up these distances: 

0 + 3 + 2 + 7 = 12 

Therefore, Mrs. Hilt ran a total of 12 miles that week. Therefore, the answer (arabic numerals) is",12,copying,TRUE,states correct value,
"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. 1. Millie had 9 bracelets.
2. She lost 2 of them.
3. To find out how many bracelets she has left, we need to subtract the number of bracelets she lost from the original number of bracelets she had.
4. So, 6",7,gpt-3.5-turbo-0301,sbs,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. 1. Millie had 9 bracelets.
2. She lost 2 of them.
3. To find out how many bracelets she has left, we need to subtract the number of bracelets she lost from the original number of bracelets she had.
4. So, 6 bracelets are left with Millie. Therefore, the answer (arabic numerals) is",6,copying,FALSE,,
"Q: There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?

A: Let's think step by step. 1. Start with the total number of students on the bus: 9.",7,gpt-3.5-turbo-0301,sbs,"Q: There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?

A: Let's think step by step. 1. Start with the total number of students on the bus: 9. There were 10 students on the bus, but 3 got off at the first stop, so we subtract 3 from 10 to get 7. Therefore, there are 7 students left on the bus. Therefore, the answer (arabic numerals) is",7,copying,TRUE,complete hallucination,
"Q: Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?

A: Let's think step by step. 1. Roden bought 15 gold fish.
2. Roden also bought 7 blue fish.
3. To find out how many fish Roden bought in total, we need to add the number of gold fish and blue fish.
4. So, 15 + 4",22,gpt-3.5-turbo-0301,sbs,"Q: Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?

A: Let's think step by step. 1. Roden bought 15 gold fish.
2. Roden also bought 7 blue fish.
3. To find out how many fish Roden bought in total, we need to add the number of gold fish and blue fish.
4. So, 15 + 4 = 22.
Therefore, Roden bought 22 fish in total. Therefore, the answer (arabic numerals) is",22,copying,TRUE,complete hallucination,
"Q: I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?

A: Let's think step by step. First, we add the number of pages read yesterday and today: 

24",38,gpt-3.5-turbo-0301,sbs,"Q: I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?

A: Let's think step by step. First, we add the number of pages read yesterday and today: 

24 + 17 = 38 

So, you read a total of 38 pages. Therefore, the answer (arabic numerals) is",38,copying,TRUE,complete hallucination,
"Q: Linda has 34 candies. Chloe has 28. How many candies do they have in all?

A: Let's think step by step. 1. Linda has 33",62,gpt-3.5-turbo-0301,sbs,"Q: Linda has 34 candies. Chloe has 28. How many candies do they have in all?

A: Let's think step by step. 1. Linda has 33 candies. 2. Chloe has 28 candies. 3. To find the total number of candies they have in all, we need to add Linda's candies and Chloe's candies. 4. So, 34 + 28 = 62. 5. Therefore, Linda and Chloe have 62 candies in all. Therefore, the answer (arabic numerals) is",62,copying,TRUE,complete hallucination,
"Q: Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?

A: Let's think step by step. First, we add the number of shells Lino picked up in the morning and the number of shells he picked up in the afternoon:

292 + 321",616,gpt-3.5-turbo-0301,sbs,"Q: Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?

A: Let's think step by step. First, we add the number of shells Lino picked up in the morning and the number of shells he picked up in the afternoon:

292 + 321 = 616

Therefore, Lino picked up a total of 616 shells in all. Therefore, the answer (arabic numerals) is",616,copying,TRUE,complete hallucination,
"Q: Bobby ate twenty-six pieces of candy. Then, he ate seventeen more. How many pieces of candy did Bobby eat?

A: Let's think step by step. First, Bobby ate twenty-six pieces of candy. 

Then, he ate seventeen more. 

To find out how many pieces of candy Bobby ate in total, we need to add the two amounts together: 

26 + 17 = 43 

Therefore, Bobby ate 42",43,gpt-3.5-turbo-0301,sbs,"Q: Bobby ate twenty-six pieces of candy. Then, he ate seventeen more. How many pieces of candy did Bobby eat?

A: Let's think step by step. First, Bobby ate twenty-six pieces of candy. 

Then, he ate seventeen more. 

To find out how many pieces of candy Bobby ate in total, we need to add the two amounts together: 

26 + 17 = 43 

Therefore, Bobby ate 42 pieces of candy in total. Therefore, the answer (arabic numerals) is",43,copying,TRUE,complete hallucination,
