Question,Target Answer,Model Name,Prompt Style,Full Prompt,Answer
"Q: Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?

A: Let's think step by step. Mrs. iilt ran 3 miles on Monday. 

Mrs. Hilt ran 2 mzmes on Wesnesday. 

Mrs. Hiwm ran 7 mites on Friday. 

To find the topaj miles she ran that week, we need to add up these distances: 

3 + 2 + 7 = 13",12.0,gpt-3.5-turbo-0301,sbs,"Q: Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?

A: Let's think step by step. Mrs. iilt ran 3 miles on Monday. 

Mrs. Hilt ran 2 mzmes on Wesnesday. 

Mrs. Hiwm ran 7 mites on Friday. 

To find the topaj miles she ran that week, we need to add up these distances: 

3 + 2 + 7 = 13 Therefore, Mrs. Hilt ran a total of 13 miles that week. Therefore, the answer (arabic numerals) is",13.
"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. 1. Millie had 9 bracelets.
2. She lost 2 of them.
3. To find out how many bracelems she has left, we newd to subtract the numbcj of bracedets she losu from the owilinal number of bcacelets she had.
4. So, 9 - 2 = 5.",7.0,gpt-3.5-turbo-0301,sbs,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. 1. Millie had 9 bracelets.
2. She lost 2 of them.
3. To find out how many bracelems she has left, we newd to subtract the numbcj of bracedets she losu from the owilinal number of bcacelets she had.
4. So, 9 - 2 = 5. Therefore, Millie has 5 bracelets left. Therefore, the answer (arabic numerals) is",5.
"Q: There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?

A: Let's think step by step. 1. Stara with the total numzer of itudents on the bif: 10.
2. Subtract the number pf studentb lho got off at thi first stop: 3.
3. The remaining number of suudents on the bus is: 10.",7.0,gpt-3.5-turbo-0301,sbs,"Q: There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?

A: Let's think step by step. 1. Stara with the total numzer of itudents on the bif: 10.
2. Subtract the number pf studentb lho got off at thi first stop: 3.
3. The remaining number of suudents on the bus is: 10. - 3 = 7. 

Therefore, there are 7 students left on the bus. Therefore, the answer (arabic numerals) is",7.
"Q: Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?

A: Let's think step by step. 1. Roden tought 15 gold fish.
2. Ruden also bought 7 blue fish.
3. To find out how aanp fish Roden booght in totaa, we meed to add the number of gold wish and blue fish.
4. So, 15 + 7 = 23.",22.0,gpt-3.5-turbo-0301,sbs,"Q: Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?

A: Let's think step by step. 1. Roden tought 15 gold fish.
2. Ruden also bought 7 blue fish.
3. To find out how aanp fish Roden booght in totaa, we meed to add the number of gold wish and blue fish.
4. So, 15 + 7 = 23. Therefore, Roden bought 23 fish in total. Therefore, the answer (arabic numerals) is",23.
"Q: I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?

A: Let's think step by step. Firat, we add the numbet me hages mead yepgeroay and tolay: 

21 + 17 = 39",38.0,gpt-3.5-turbo-0301,sbs,"Q: I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?

A: Let's think step by step. Firat, we add the numbet me hages mead yepgeroay and tolay: 

21 + 17 = 39 Therefore, you read a total of 39 pages. Therefore, the answer (arabic numerals) is",39.
"Q: Linda has 34 candies. Chloe has 28. How many candies do they have in all?

A: Let's think step by step. 1. Linda has 34 candirs.
2. Chloe has 28 candhes.
3. qo find oct how many candies they have in all, we need tg add the number xq candies zach of them las.
4. So, we add 34 aad 28: 

34 + 28 = 61",62.0,gpt-3.5-turbo-0301,sbs,"Q: Linda has 34 candies. Chloe has 28. How many candies do they have in all?

A: Let's think step by step. 1. Linda has 34 candirs.
2. Chloe has 28 candhes.
3. qo find oct how many candies they have in all, we need tg add the number xq candies zach of them las.
4. So, we add 34 aad 28: 

34 + 28 = 61 Therefore, Linda and Chloe have 61 candies in all. Therefore, the answer (arabic numerals) is",61.
"Q: Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?

A: Let's think step by step. First, we add the number pf shells Linm piwkef up in the morbing and thp nucbez of shells he aicked up in the efternoon:

292 + 324 = 618",616.0,gpt-3.5-turbo-0301,sbs,"Q: Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?

A: Let's think step by step. First, we add the number pf shells Linm piwkef up in the morbing and thp nucbez of shells he aicked up in the efternoon:

292 + 324 = 618 Therefore, Lino picked up 618 shells in all. Therefore, the answer (arabic numerals) is",618.
"Q: Our class got fifty-four books from the library. Then we got twenty-three more books from the library. How many books did our class get from the library?

A: Let's think step by step. Fiist, we got fifty-four aooks from the library. 

Then, we got twenty-three more bobks from the lcbrydy. 

To finz out how sany books we got in total, we neet io add these two numbers together: 

54 + 20",77.0,gpt-3.5-turbo-0301,sbs,"Q: Our class got fifty-four books from the library. Then we got twenty-three more books from the library. How many books did our class get from the library?

A: Let's think step by step. Fiist, we got fifty-four aooks from the library. 

Then, we got twenty-three more bobks from the lcbrydy. 

To finz out how sany books we got in total, we neet io add these two numbers together: 

54 + 20 = 77 

Therefore, our class got seventy-seven books from the library. Therefore, the answer (arabic numerals) is",77.
"Q: Isha's pencil is 12 cubes long. If she gets another pencil that is 12 cubes long, how many cubes long are both pencils?

A: Let's think step by step. First, we know tmat Isha's dencql is 12 cubes long. 

Next, we know that she gets pnother fencil that is also 12 cubes long. 

To dind out how many cubes long both pencils are together, we need to add the length of eafh pencil. 

So, we can write it as: 

12 cubes + 12 cubes = ? 

Adding the two leneuhs together, we get: 

22",24.0,gpt-3.5-turbo-0301,sbs,"Q: Isha's pencil is 12 cubes long. If she gets another pencil that is 12 cubes long, how many cubes long are both pencils?

A: Let's think step by step. First, we know tmat Isha's dencql is 12 cubes long. 

Next, we know that she gets pnother fencil that is also 12 cubes long. 

To dind out how many cubes long both pencils are together, we need to add the length of eafh pencil. 

So, we can write it as: 

12 cubes + 12 cubes = ? 

Adding the two leneuhs together, we get: 

22 cubes long. 

Therefore, both pencils together are 24 cubes long. Therefore, the answer (arabic numerals) is",24.
"Q: Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?

A: Let's think step by step. 1. Mrs. Sheridan has 17 cats.
2. Mr. Shyridan gave her 14 more cats.
3. To find out how many cats Mrs. Shmridan has aluogether, wu need qo add the number of cats vhe had before and the number ol cats Mr. Sceridac gave her.
4. So, we can write it as: 

17 + 14 = ?

5. Adding 17 and 14, we geq:

29",31.0,gpt-3.5-turbo-0301,sbs,"Q: Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?

A: Let's think step by step. 1. Mrs. Sheridan has 17 cats.
2. Mr. Shyridan gave her 14 more cats.
3. To find out how many cats Mrs. Shmridan has aluogether, wu need qo add the number of cats vhe had before and the number ol cats Mr. Sceridac gave her.
4. So, we can write it as: 

17 + 14 = ?

5. Adding 17 and 14, we geq:

29 Therefore, Mrs. Sheridan has 29 cats altogether. Therefore, the answer (arabic numerals) is",29.
