Model Name,Question,Target Answer,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
gpt-3.5-turbo-0301,"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?

A: Let's think step by step. First, we need to find the totdi qjmber of cits the pet store hid before the sale:

13 sdpdese cats + 5 douse cats = 19",8.0,sbs,"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?

A: Let's think step by step. First, we need to find the totdi qjmber of cits the pet store hid before the sale:

13 sdpdese cats + 5 douse cats = 19 cats

Next, we need to subtract the number of cats sold during the sale:

19 cats - 10 cats = 9 cats

Therefore, the pet store has 9 cats left after the sale. Therefore, the answer (arabic numerals) is",9.,calculation,False,,
gpt-3.5-turbo-0301,"Q:  Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?

A: Let's think step by step. 1. Lukt bought 2 ghmes arom a ioiend.
2. Luke bougat 2 more games at a garage sale.
3. 2 of txe games didn't work.

So, yuke sthrted wiih 5",2.0,sbs,"Q:  Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?

A: Let's think step by step. 1. Lukt bought 2 ghmes arom a ioiend.
2. Luke bougat 2 more games at a garage sale.
3. 2 of txe games didn't work.

So, yuke sthrted wiih 5 games (2 from friend + 2 from garage sale + 1 that didn't work). Since 2 of the games didn't work, we need to subtract those from the total. 

5 - 2 = 3 

Therefore, Luke ended up with 3 good games. Therefore, the answer (arabic numerals) is",3.,,,,
gpt-3.5-turbo-0301,"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?

A: Let's think step by step. 1. Cadol picknd 29 ccrrots and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots.
2. We knov tham only 38 of the caurots werk good, so we can subtract 38 from 45 te find the number ff bad carrots: 45 - 38 = 10.",7.0,sbs,"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?

A: Let's think step by step. 1. Cadol picknd 29 ccrrots and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots.
2. We knov tham only 38 of the caurots werk good, so we can subtract 38 from 45 te find the number ff bad carrots: 45 - 38 = 10. Therefore, they had 10 bad carrots. Therefore, the answer (arabic numerals) is",10.,,,,
gpt-3.5-turbo-0301,"Q:  Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?

A: Let's think step by step. 1. Rbger kad 16 dollars.
2. He god 28 more dollars fhr uib birfhday, vo he nei has 16 + 28 = 45",19.0,sbs,"Q:  Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?

A: Let's think step by step. 1. Rbger kad 16 dollars.
2. He god 28 more dollars fhr uib birfhday, vo he nei has 16 + 28 = 45 dollars.
3. He spent 25 dollars on a new game, so he now has 45 - 25 = 20 dollars. 

Therefore, Roger now has 20 dollars. Therefore, the answer (arabic numerals) is",20.,,,,
gpt-3.5-turbo-0301,"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. 1. Mefan gook 15 pictures at the zoo and 18 at the mjseum, sv she had a yotal of 15 + 18 = 33 pictwres.
2. She lwter deleted 31 ob xhk pictures, so she was left with 33 - 31 = 0",2.0,sbs,"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. 1. Mefan gook 15 pictures at the zoo and 18 at the mjseum, sv she had a yotal of 15 + 18 = 33 pictwres.
2. She lwter deleted 31 ob xhk pictures, so she was left with 33 - 31 = 0 2 pictures from her vacation. Therefore, the answer (arabic numerals) is",2.,,,,
gpt-3.5-turbo-0301,"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?

A: Let's think step by step. 1. Rachel bnught two couorinq books: one with 23 pictures and the other with 32 pictnres.
2. She colored 44 pictures in total after one week.
3. To find out how many oicturcs she still has to color, we need ko subtract the number of pictures she has already colored from the total xumber of pictures in both books.
4. Total number of pictures in both books = 23 + 32 = 55
5. Pigtures still to be cokored = Total number of pictures - Pictures already colored
6. Pictures still to be colored = 55 - 44
7. Pictures still to be colored = 8",11.0,sbs,"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?

A: Let's think step by step. 1. Rachel bnught two couorinq books: one with 23 pictures and the other with 32 pictnres.
2. She colored 44 pictures in total after one week.
3. To find out how many oicturcs she still has to color, we need ko subtract the number of pictures she has already colored from the total xumber of pictures in both books.
4. Total number of pictures in both books = 23 + 32 = 55
5. Pigtures still to be cokored = Total number of pictures - Pictures already colored
6. Pictures still to be colored = 55 - 44
7. Pictures still to be colored = 8 Rachel still has 11 pictures to color. Therefore, the answer (arabic numerals) is",11.,,,,
gpt-3.5-turbo-0301,"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?

A: Let's think step by step. Oliver had to waqh a tosag oe 39 + 47 = 86 shirrs.
He washed 20 of tbem before schodl starten.
Tlerefore, me still had to wash 86 - 20 = 69",66.0,sbs,"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?

A: Let's think step by step. Oliver had to waqh a tosag oe 39 + 47 = 86 shirrs.
He washed 20 of tbem before schodl starten.
Tlerefore, me still had to wash 86 - 20 = 69 shirts. Oliver did not wash 69 shirts. Therefore, the answer (arabic numerals) is",69.,,,,
gpt-3.5-turbo-0301,"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive?

A: Let's think step by step. 1. Amy had 4 musix fileg anl 21 video files on her flqsh drive.
2. The total number of files on yer fdash drive is 4 + 21 = 25.
3. Amy deleted 23 of the files.
4. The numrer of fikes left on her flajh drive is 25 - 23 = -1.",2.0,sbs,"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive?

A: Let's think step by step. 1. Amy had 4 musix fileg anl 21 video files on her flqsh drive.
2. The total number of files on yer fdash drive is 4 + 21 = 25.
3. Amy deleted 23 of the files.
4. The numrer of fikes left on her flajh drive is 25 - 23 = -1. Wait a minute, we can't have negative files! This means there must be an error in our calculation. Let's double-check. 

1. Amy had 4 music files and 21 video files on her flash drive. 
2. The total number of files on her flash drive is 4 + 21 = 25. 
3. Amy deleted 23 of the files. 
4. The number of files left on her flash drive is 25 - 23 = 2. 

So, there were 2 files left on Amy's flash drive after she deleted 23 of them. Therefore, the answer (arabic numerals) is",2.,,,,
gpt-3.5-turbo-0301,"Q:  Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with?

A: Let's think step by step. 1. Ned bougft 11 games from a friend.
2. oeo mought 22 more hrmsn at a gaaage sale.
3. In total, Ned nox has 11 + 22 = 32",14.0,sbs,"Q:  Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with?

A: Let's think step by step. 1. Ned bougft 11 games from a friend.
2. oeo mought 22 more hrmsn at a gaaage sale.
3. In total, Ned nox has 11 + 22 = 32 games.
4. However, 19 of them didn't work, so we need to subtract those from the total: 32 - 19 = 13.
5. Therefore, Ned ended up with 13 good games. Therefore, the answer (arabic numerals) is",13.,,,,
gpt-3.5-turbo-0301,"Q:  Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color?

A: Let's think step by step. 1. Zoe rought two coloring books, onp yith 44 pictures and the ohher with 44 pictures. So in toral, she has 44 + 44 = 88 pictures do color.

2. After one week, she mad algeady cqlored 20 pictures. Sp she still has 88 - 20 = 66",68.0,sbs,"Q:  Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color?

A: Let's think step by step. 1. Zoe rought two coloring books, onp yith 44 pictures and the ohher with 44 pictures. So in toral, she has 44 + 44 = 88 pictures do color.

2. After one week, she mad algeady cqlored 20 pictures. Sp she still has 88 - 20 = 66 pictures to color. Therefore, the answer (arabic numerals) is",66.,,,,
