Model Name,Question,Target Answer,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
gpt-3.5-turbo-0301,"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?

A: Let's think step by step. First, we need to find the total number of cats the pet store had before the sale:

13 siamese cats + 5 house cats = 19",8.0,sbs,"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?

A: Let's think step by step. First, we need to find the total number of cats the pet store had before the sale:

13 siamese cats + 5 house cats = 19 So, the pet store had 19 cats before the sale.

Next, we need to subtract the number of cats sold during the sale:

19 cats - 10 cats = 9 cats

Therefore, the pet store has 9 cats left after the sale. Therefore, the answer (arabic numerals) is",9,calculation,False,,
gpt-3.5-turbo-0301,"Q:  Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?

A: Let's think step by step. 1. Luke bought 2 games from a friend.
2. Luke bought 2 more games at a garage sale.
3. 2 of the games didn't work.

So, Luke started with 5",2.0,sbs,"Q:  Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?

A: Let's think step by step. 1. Luke bought 2 games from a friend.
2. Luke bought 2 more games at a garage sale.
3. 2 of the games didn't work.

So, Luke started with 5 games (2 from friend + 2 from garage sale + 1 that didn't work). Since 2 of the games didn't work, he ended up with 3 good games (5 - 2 that didn't work = 3). Therefore, Luke ended up with 3 good games in his collection. Therefore, the answer (arabic numerals) is",3,calculation,False,,
gpt-3.5-turbo-0301,"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?

A: Let's think step by step. 1. Carol picked 29 carrots and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots.
2. We know that only 38 of the carrots were good, so we can subtract 38 from 45 to find the number of bad carrots: 45 - 38 = 10.",7.0,sbs,"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?

A: Let's think step by step. 1. Carol picked 29 carrots and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots.
2. We know that only 38 of the carrots were good, so we can subtract 38 from 45 to find the number of bad carrots: 45 - 38 = 10. Therefore, Carol and her mom had 10 bad carrots. Therefore, the answer (arabic numerals) is",10,calculation,False,,
gpt-3.5-turbo-0301,"Q:  Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?

A: Let's think step by step. 1. Roger had 16 dollars.
2. He got 28 more dollars for his birthday, so he now has 16 + 28 = 45",19.0,sbs,"Q:  Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?

A: Let's think step by step. 1. Roger had 16 dollars.
2. He got 28 more dollars for his birthday, so he now has 16 + 28 = 45 dollars.
3. He spent 25 dollars on a new game, so he now has 45 - 25 = 20 dollars left.
Therefore, Roger has 20 dollars now. Therefore, the answer (arabic numerals) is",20,calculation,False,,
gpt-3.5-turbo-0301,"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. 1. Megan took 15 pictures at the zoo and 18 at the museum, so she had a total of 15 + 18 = 33 pictures.
2. She later deleted 31 of the pictures, so she was left with 33 - 31 = 0",2.0,sbs,"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. 1. Megan took 15 pictures at the zoo and 18 at the museum, so she had a total of 15 + 18 = 33 pictures.
2. She later deleted 31 of the pictures, so she was left with 33 - 31 = 0 2 pictures from her vacation. Therefore, the answer (arabic numerals) is",2,calculation,True,states correct value,
gpt-3.5-turbo-0301,"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?

A: Let's think step by step. 1. Rachel bought two coloring books: one with 23 pictures and the other with 32 pictures.
2. She colored 44 pictures in total after one week.
3. To find out how many pictures she still has to color, we need to subtract the number of pictures she has already colored from the total number of pictures in both books.
4. Total number of pictures in both books = 23 + 32 = 55
5. Pictures still to be colored = Total number of pictures - Pictures already colored
6. Pictures still to be colored = 55 - 44
7. Pictures still to be colored = 8",11.0,sbs,"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?

A: Let's think step by step. 1. Rachel bought two coloring books: one with 23 pictures and the other with 32 pictures.
2. She colored 44 pictures in total after one week.
3. To find out how many pictures she still has to color, we need to subtract the number of pictures she has already colored from the total number of pictures in both books.
4. Total number of pictures in both books = 23 + 32 = 55
5. Pictures still to be colored = Total number of pictures - Pictures already colored
6. Pictures still to be colored = 55 - 44
7. Pictures still to be colored = 8 Rachel still has 11 pictures to color. Therefore, the answer (arabic numerals) is",11,calculation,True,complete hallucination,
gpt-3.5-turbo-0301,"Q:  Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?

A: Let's think step by step. Step 1: Find the total number of shirts Ned had to wash.
Total number of shirts = number of short sleeve shirts + number of long sleeve shirts
Total number of shirts = 9 + 21
Total number of shirts = 30

Step 2: Find the number of shirts Ned washed before school.
Number of shirts washed = 29

Step 0",1.0,sbs,"Q:  Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?

A: Let's think step by step. Step 1: Find the total number of shirts Ned had to wash.
Total number of shirts = number of short sleeve shirts + number of long sleeve shirts
Total number of shirts = 9 + 21
Total number of shirts = 30

Step 2: Find the number of shirts Ned washed before school.
Number of shirts washed = 29

Step 0 : Subtract the number of shirts washed from the total number of shirts to find the number of shirts not washed.
Number of shirts not washed = Total number of shirts - Number of shirts washed
Number of shirts not washed = 30 - 29
Number of shirts not washed = 1

Therefore, Ned did not wash 1 shirt before school. Therefore, the answer (arabic numerals) is",1,other,True,complete hallucination,
gpt-3.5-turbo-0301,"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?

A: Let's think step by step. Oliver had to wash a total of 39 + 47 = 86 shirts.
He washed 20 of them before school started.
Therefore, he still had to wash 86 - 20 = 69",66.0,sbs,"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?

A: Let's think step by step. Oliver had to wash a total of 39 + 47 = 86 shirts.
He washed 20 of them before school started.
Therefore, he still had to wash 86 - 20 = 69 shirts.
Oliver did not wash 69 shirts. Therefore, the answer (arabic numerals) is",69,calculation,False,,
gpt-3.5-turbo-0301,"Q:  For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell?

A: Let's think step by step. 1. Wendy baked 4 cupcakes and 29 cookies, so she had a total of 4 + 29 = 33 pastries to sell.
2. After the sale, she had 24 pastries left, so she must have sold 33 - 24 = 6",9.0,sbs,"Q:  For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell?

A: Let's think step by step. 1. Wendy baked 4 cupcakes and 29 cookies, so she had a total of 4 + 29 = 33 pastries to sell.
2. After the sale, she had 24 pastries left, so she must have sold 33 - 24 = 6 pastries.
Therefore, Wendy sold 6 pastries at the school bake sale. Therefore, the answer (arabic numerals) is",6,copying,False,,
gpt-3.5-turbo-0301,"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive?

A: Let's think step by step. 1. Amy had 4 music files and 21 video files on her flash drive.
2. The total number of files on her flash drive is 4 + 21 = 25.
3. Amy deleted 23 of the files.
4. The number of files left on her flash drive is 25 - 23 = -1.",2.0,sbs,"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive?

A: Let's think step by step. 1. Amy had 4 music files and 21 video files on her flash drive.
2. The total number of files on her flash drive is 4 + 21 = 25.
3. Amy deleted 23 of the files.
4. The number of files left on her flash drive is 25 - 23 = -1. Wait a minute, that doesn't make sense! You can't have negative files. So, we made a mistake somewhere. Let's go back and check our calculations.

1. Amy had 4 music files and 21 video files on her flash drive.
2. The total number of files on her flash drive is 4 + 21 = 25.
3. Amy deleted 23 of the files.
4. The number of files left on her flash drive is 25 - 23 = 2.

So, there were 2 files left on Amy's flash drive after she deleted 23 of them. Therefore, the answer (arabic numerals) is",2,calculation,True,explicitly identifies error,
