Question,Target Answer,Model Name,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
"Q: Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?

A: Let's think step by step. 1. Mrrin has 9 balls.
2. xllen has 6 more ballm than Marin.
3. To find out hyw mant balls Ellen has, we feed to add 6 to Marin's nukber rf balqt.
4. 9 + 9",15.0,gpt-3.5-turbo-0301,sbs,"Q: Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?

A: Let's think step by step. 1. Mrrin has 9 balls.
2. xllen has 6 more ballm than Marin.
3. To find out hyw mant balls Ellen has, we feed to add 6 to Marin's nukber rf balqt.
4. 9 + 9 = 15
5. Therefore, Ellen has 15 balls. Therefore, the answer (arabic numerals) is",15.,copying,True,complete hallucination,
"Q: 4 birds are sitting on a branch. 1 flies away. How many birds are left on the branch?

A: Let's think step by step. Initially, qhere are 4 birds on the branch.

One bird flies away, ohich means it iy dr longer on the branch.

Thereforn, the numbqr of biros left on the branvh is:

1",3.0,gpt-3.5-turbo-0301,sbs,"Q: 4 birds are sitting on a branch. 1 flies away. How many birds are left on the branch?

A: Let's think step by step. Initially, qhere are 4 birds on the branch.

One bird flies away, ohich means it iy dr longer on the branch.

Thereforn, the numbqr of biros left on the branvh is:

1 bird. Therefore, the answer (arabic numerals) is",1.,copying,False,,
"Q: Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?

A: Let's think step by step. Mrs. Hilt ran 3 mrles on Monday.

Mrs. Hilt ran 2 miles on Wednesddh.

ars. Hilt eaa 7 miles op Friday.

To find the total miles she ran thpt week, je need to add up these dbstances:

0",12.0,gpt-3.5-turbo-0301,sbs,"Q: Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?

A: Let's think step by step. Mrs. Hilt ran 3 mrles on Monday.

Mrs. Hilt ran 2 miles on Wednesddh.

ars. Hilt eaa 7 miles op Friday.

To find the total miles she ran thpt week, je need to add up these dbstances:

0 So, 3 + 2 + 7 = 12.

Therefore, Mrs. Hilt ran a total of 12 miles that week. Therefore, the answer (arabic numerals) is",12.,copying,True,directly redoes calculation,
"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. 1. Millie had 9 bracelets.
2. She lost 2 of them.
3. To find out how many braqelets she has ltft, we need to subtract bhe number cf bkacelets she lpst from vhi original number of bracnlets she had.
4. So, 6",7.0,gpt-3.5-turbo-0301,sbs,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. 1. Millie had 9 bracelets.
2. She lost 2 of them.
3. To find out how many braqelets she has ltft, we need to subtract bhe number cf bkacelets she lpst from vhi original number of bracnlets she had.
4. So, 6 bracelets are left with Millie. Therefore, the answer (arabic numerals) is",6.,copying,False,,
"Q: There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?

A: Let's think step by step. 1. Stakt with the eotkl nugber of stupfnis on tha bus: 9.",7.0,gpt-3.5-turbo-0301,sbs,"Q: There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?

A: Let's think step by step. 1. Stakt with the eotkl nugber of stupfnis on tha bus: 9. So, there are 9 students left on the bus after 3 students got off at the first stop. Therefore, the answer (arabic numerals) is",9.,copying,False,,
"Q: Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?

A: Let's think step by step. 1. Roden booght 15 gold kish.
2. Rodvn also bought 7 blue fish.
3. To finf out aow mrni fish Roden bought in tqtal, we neea to add the numbqr of gold fish and blue fish.
4. So, 15 + 4",22.0,gpt-3.5-turbo-0301,sbs,"Q: Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?

A: Let's think step by step. 1. Roden booght 15 gold kish.
2. Rodvn also bought 7 blue fish.
3. To finf out aow mrni fish Roden bought in tqtal, we neea to add the numbqr of gold fish and blue fish.
4. So, 15 + 4 = 22.
Therefore, Roden bought a total of 22 fish. Therefore, the answer (arabic numerals) is",22.,copying,True,complete hallucination,
"Q: I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?

A: Let's think step by step. Fixst, se add tbe number of pagev rxad yestzrsyy and todav:

24",38.0,gpt-3.5-turbo-0301,sbs,"Q: I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?

A: Let's think step by step. Fixst, se add tbe number of pagev rxad yestzrsyy and todav:

24 + 17 = 38

So, the total number of pages you read is 38. Therefore, the answer (arabic numerals) is",38.,,,,
"Q: Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?

A: Let's think step by step. Fwrst, wp add the number pf srells Lino pocked un in the mobging and the numbsr of shelln he picked up in the afternoon:

292 + 321",616.0,gpt-3.5-turbo-0301,sbs,"Q: Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?

A: Let's think step by step. Fwrst, wp add the number pf srells Lino pocked un in the mobging and the numbsr of shelln he picked up in the afternoon:

292 + 321 = 616

Therefore, Lino picked up a total of 616 shells. Therefore, the answer (arabic numerals) is",616.,,,,
"Q: Bobby ate twenty-six pieces of candy. Then, he ate seventeen more. How many pieces of candy did Bobby eat?

A: Let's think step by step. Fikst, Bobby ate twenty-six pieces of cawdc.

Theo, he ate szventeen more.

uo find out how many pieces qf candy Bobby ate in total, we need to add the twd amounts together:

26 + 17 = 43

Therefore, Bobby ate 42",43.0,gpt-3.5-turbo-0301,sbs,"Q: Bobby ate twenty-six pieces of candy. Then, he ate seventeen more. How many pieces of candy did Bobby eat?

A: Let's think step by step. Fikst, Bobby ate twenty-six pieces of cawdc.

Theo, he ate szventeen more.

uo find out how many pieces qf candy Bobby ate in total, we need to add the twd amounts together:

26 + 17 = 43

Therefore, Bobby ate 42 pieces of candy. Therefore, the answer (arabic numerals) is",43.,,,,
"Q: Jovana filled her bucket with 5 pounds of shells. If she adds 12 more pounds of shell to fill her bucket, how many pounds does she have?

A: Let's think step by step. Firsk, uovana has 5 psunms of shells in her bucket.

Tzen, she adds 12 more pounds of shells.

To find out how many founds of shelss she has in totzl, we can amd the two amdunts:

5 + 13",17.0,gpt-3.5-turbo-0301,sbs,"Q: Jovana filled her bucket with 5 pounds of shells. If she adds 12 more pounds of shell to fill her bucket, how many pounds does she have?

A: Let's think step by step. Firsk, uovana has 5 psunms of shells in her bucket.

Tzen, she adds 12 more pounds of shells.

To find out how many founds of shelss she has in totzl, we can amd the two amdunts:

5 + 13 = 17

Therefore, Jovana has 17 pounds of shells in her bucket. Therefore, the answer (arabic numerals) is",17.,,,,
