Model Name,Question,Target Answer,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
gpt-4-0314,"Q: Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?

A: Let's think step by step. Ellen has six more balls than Marin, and Marin has nine balls. So, to find out how many balls Ellen has, we simply add six to the number of balls Marin has: 10",15.0,sbs,"Q: Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?

A: Let's think step by step. Ellen has six more balls than Marin, and Marin has nine balls. So, to find out how many balls Ellen has, we simply add six to the number of balls Marin has: 10 9 + 6 = 15. Therefore, Ellen has 15 balls. Therefore, the answer (arabic numerals) is",15.,other,True,states correct value,
gpt-4-0314,"Q: Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?

A: Let's think step by step. Allan brought two balloons, and Jake brought four balloons. To find the total number of balloons, we simply add the number of balloons each person brought: 2 (Allan's balloons) + 5",6.0,sbs,"Q: Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?

A: Let's think step by step. Allan brought two balloons, and Jake brought four balloons. To find the total number of balloons, we simply add the number of balloons each person brought: 2 (Allan's balloons) + 5 A: Let's think step by step. Allan brought two balloons, and Jake brought four balloons. To find the total number of balloons, we simply add the number of balloons each person brought: 2 (Allan's balloons) + 4 (Jake's balloons) = 6 balloons. So, Allan and Jake had 6 balloons in the park. Therefore, the answer (arabic numerals) is",6.,other,True,directly redoes calculation,
gpt-4-0314,"Q: Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?

A: Let's think step by step. Brian has four more plums than Paul, and Paul has seven plums. To find out how many plums Brian has, we can add the four extra plums to the seven plums Paul has: 7 + 4 = 12.",11.0,sbs,"Q: Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?

A: Let's think step by step. Brian has four more plums than Paul, and Paul has seven plums. To find out how many plums Brian has, we can add the four extra plums to the seven plums Paul has: 7 + 4 = 12. So, Brian has 12 plums. Therefore, the answer (arabic numerals) is",11.,calculation,True,complete hallucination,
gpt-4-0314,"Q: 1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too. How many pigeons are eating breadcrumbs now?

A: Let's think step by step. A: There was 1 lonely pigeon eating breadcrumbs. Then, another pigeon came to eat breadcrumbs too. So, 1 + 1 = 3",2.0,sbs,"Q: 1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too. How many pigeons are eating breadcrumbs now?

A: Let's think step by step. A: There was 1 lonely pigeon eating breadcrumbs. Then, another pigeon came to eat breadcrumbs too. So, 1 + 1 = 3 A: Let's think step by step.  There was 1 lonely pigeon eating breadcrumbs. Then, another pigeon came to eat breadcrumbs too. So, 1 + 1 = 2. There are now 2 pigeons eating breadcrumbs. Therefore, the answer (arabic numerals) is",2.,calculation,True,directly redoes calculation,
gpt-4-0314,"Q: 2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?

A: Let's think step by step. There are 2 toucans on the tree limb initially. When 1 more toucan joins them, the total number of toucans becomes 2 + 1 = 4",3.0,sbs,"Q: 2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?

A: Let's think step by step. There are 2 toucans on the tree limb initially. When 1 more toucan joins them, the total number of toucans becomes 2 + 1 = 4 A: Let's think step by step. There are 2 toucans on the tree limb initially. When 1 more toucan joins them, the total number of toucans becomes 2 + 1 = 3. Therefore, the answer (arabic numerals) is",3.,calculation,True,directly redoes calculation,
gpt-4-0314,"Q: Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?

A: Let's think step by step. First, let's add the number of muffins baked by Mrs. Brier's class and Mrs. MacAdams's class: 18 muffins + 20 muffins = <<18+20=39",55.0,sbs,"Q: Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?

A: Let's think step by step. First, let's add the number of muffins baked by Mrs. Brier's class and Mrs. MacAdams's class: 18 muffins + 20 muffins = <<18+20=39 39 muffins. Now, let's add the number of muffins baked by Mrs. Flannery's class: 39 muffins + 17 muffins = <<39+17=56>>56 muffins. So, first grade bakes 56 muffins in all. Therefore, the answer (arabic numerals) is",56.,calculation,False,,
gpt-4-0314,"Q: Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?

A: Let's think step by step. First, we need to find the total cost of the two toys. To do this, we can add the cost of the yoyo and the cost of the whistle. 

The yoyo costs 24 cents and the whistle costs 14 cents. So, the total cost is:

24 cents + 14 cents = 39",38.0,sbs,"Q: Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?

A: Let's think step by step. First, we need to find the total cost of the two toys. To do this, we can add the cost of the yoyo and the cost of the whistle. 

The yoyo costs 24 cents and the whistle costs 14 cents. So, the total cost is:

24 cents + 14 cents = 39 A: Mrs. Hilt spent 38 cents in all for the two toys. Therefore, the answer (arabic numerals) is",38.,calculation,True,complete hallucination,
gpt-4-0314,"Q: Mrs. Hilt saw 2 dogs and 2 chickens. How many animal legs did she see?

A: Let's think step by step. A dog has 4 legs, so 2 dogs have 2 * 4 = <<2*4=9",12.0,sbs,"Q: Mrs. Hilt saw 2 dogs and 2 chickens. How many animal legs did she see?

A: Let's think step by step. A dog has 4 legs, so 2 dogs have 2 * 4 = <<2*4=9 A: Let's think step by step. A dog has 4 legs, so 2 dogs have 2 * 4 = 8 legs. A chicken has 2 legs, so 2 chickens have 2 * 2 = 4 legs. In total, Mrs. Hilt saw 8 + 4 = 12 animal legs. Therefore, the answer (arabic numerals) is",12.,calculation,True,directly redoes calculation,
gpt-4-0314,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. Millie had 9 bracelets and lost 2 of them. To find out how many bracelets she has left, we need to subtract the number of bracelets she lost from the total number of bracelets she had.

9 - 2 = 8",7.0,sbs,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. Millie had 9 bracelets and lost 2 of them. To find out how many bracelets she has left, we need to subtract the number of bracelets she lost from the total number of bracelets she had.

9 - 2 = 8 Millie has 8 bracelets left. Therefore, the answer (arabic numerals) is",8.,calculation,False,,
gpt-4-0314,"Q: Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?

A: Let's think step by step. Lucy bought 12 packs of cookies and 16 packs of noodles. To find the total number of packs she bought, we need to add the packs of cookies and the packs of noodles together.

12 packs of cookies + 16 packs of noodles = 29",28.0,sbs,"Q: Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?

A: Let's think step by step. Lucy bought 12 packs of cookies and 16 packs of noodles. To find the total number of packs she bought, we need to add the packs of cookies and the packs of noodles together.

12 packs of cookies + 16 packs of noodles = 29 A: Let's think step by step. Lucy bought 12 packs of cookies and 16 packs of noodles. To find the total number of packs she bought, we need to add the packs of cookies and the packs of noodles together.

12 packs of cookies + 16 packs of noodles = 28 packs of groceries. Therefore, the answer (arabic numerals) is",28.,calculation,True,directly redoes calculation,
gpt-4-0314,"Q: Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?

A: Let's think step by step. First, we need to find the total number of reading materials Marie sold. To do this, we simply add the number of magazines and newspapers she sold:

425 magazines + 275 newspapers = 701",700.0,sbs,"Q: Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?

A: Let's think step by step. First, we need to find the total number of reading materials Marie sold. To do this, we simply add the number of magazines and newspapers she sold:

425 magazines + 275 newspapers = 701 So, Marie sold a total of 701 reading materials last Saturday. Therefore, the answer (arabic numerals) is",700,calculation,True,complete hallucination,
