Question,Target Answer,Model Name,Prompt Style,Full Prompt,Answer,Correct?,Error Type,Recovery Behavior,Notes
"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? 

A: Let's think step by step. First, we need to find the total number of cats the pet store had before the sale:

13 siamese cats + 5 house cats = 20 cats

Next, we need to subtract the number of cats sold during the sale:

20",8,gpt-3.5-turbo-0301,sbs,"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? 

A: Let's think step by step. First, we need to find the total number of cats the pet store had before the sale:

13 siamese cats + 5 house cats = 20 cats

Next, we need to subtract the number of cats sold during the sale:

20 cats - 10 cats = 10 cats

Therefore, the pet store has 10 cats left after the sale. Therefore, the answer (arabic numerals) is",10,FALSE,calculation,,
"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? 

A: Let's think step by step. 1. Carol picked 29 carrots and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots.
2. We know that only 38 of the carrots were good, so we can subtract 38 from 45 to find the number of bad carrots: 45 - 38 = 5.
3. Therefore, Carol and her mom had 5.",7,gpt-3.5-turbo-0301,sbs,"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? 

A: Let's think step by step. 1. Carol picked 29 carrots and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots.
2. We know that only 38 of the carrots were good, so we can subtract 38 from 45 to find the number of bad carrots: 45 - 38 = 5.
3. Therefore, Carol and her mom had 5. bad carrots. Therefore, the answer (arabic numerals) is",5,FALSE,calculation,,
"Q:  Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? 

A: Let's think step by step. 1. Roger had 16 dollars.
2. He got 28 more dollars for his birthday, so he now has 16 + 28 = 41 dollars.
3. He spent 25 dollars on a new game, so he now has 41",19,gpt-3.5-turbo-0301,sbs,"Q:  Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? 

A: Let's think step by step. 1. Roger had 16 dollars.
2. He got 28 more dollars for his birthday, so he now has 16 + 28 = 41 dollars.
3. He spent 25 dollars on a new game, so he now has 41 - 25 = 16 dollars left. 

Therefore, Roger has 16 dollars now after receiving 28 dollars for his birthday and spending 25 dollars on a new game. Therefore, the answer (arabic numerals) is",16,FALSE,calculation,,
"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? 

A: Let's think step by step. 1. Megan took 15 pictures at the zoo and 18 at the museum, so she had a total of 15 + 18 = 33 pictures.
2. She later deleted 31 of the pictures, so she was left with 33 - 31 = 1 pictures.
3. Therefore, Megan still had 1",2,gpt-3.5-turbo-0301,sbs,"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? 

A: Let's think step by step. 1. Megan took 15 pictures at the zoo and 18 at the museum, so she had a total of 15 + 18 = 33 pictures.
2. She later deleted 31 of the pictures, so she was left with 33 - 31 = 1 pictures.
3. Therefore, Megan still had 1 picture from her vacation after deleting 31 of them. Therefore, the answer (arabic numerals) is",1,FALSE,calculation,,
"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? 

A: Let's think step by step. 1. Rachel bought two coloring books: one with 23 pictures and the other with 32 pictures.
2. She colored 44 pictures in total after one week.
3. To find out how many pictures she still has to color, we need to subtract the number of pictures she has already colored from the total number of pictures in both books.
4. Total number of pictures in both books = 23 + 32 = 54
5. Pictures still to be colored = Total number of pictures - Pictures already colored
6. Pictures still to be colored = 54",11,gpt-3.5-turbo-0301,sbs,"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? 

A: Let's think step by step. 1. Rachel bought two coloring books: one with 23 pictures and the other with 32 pictures.
2. She colored 44 pictures in total after one week.
3. To find out how many pictures she still has to color, we need to subtract the number of pictures she has already colored from the total number of pictures in both books.
4. Total number of pictures in both books = 23 + 32 = 54
5. Pictures still to be colored = Total number of pictures - Pictures already colored
6. Pictures still to be colored = 54 - 44
7. Pictures still to be colored = 10
Therefore, Rachel still has 10 pictures to color. Therefore, the answer (arabic numerals) is",10,FALSE,calculation,,
"Q:  Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? 

A: Let's think step by step. Step 1: Find the total number of shirts Ned had to wash.
Total number of shirts = number of short sleeve shirts + number of long sleeve shirts
Total number of shirts = 9 + 21
Total number of shirts = 27

Step 2: Find the number of shirts Ned washed before school.
Number of shirts washed = 29

Step 3: Find the number of shirts Ned did not wash.
Number of shirts not washed = Total number of shirts - Number of shirts washed
Number of shirts not washed = 27",1,gpt-3.5-turbo-0301,sbs,"Q:  Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? 

A: Let's think step by step. Step 1: Find the total number of shirts Ned had to wash.
Total number of shirts = number of short sleeve shirts + number of long sleeve shirts
Total number of shirts = 9 + 21
Total number of shirts = 27

Step 2: Find the number of shirts Ned washed before school.
Number of shirts washed = 29

Step 3: Find the number of shirts Ned did not wash.
Number of shirts not washed = Total number of shirts - Number of shirts washed
Number of shirts not washed = 27 - 29
Number of shirts not washed = 2

Therefore, Ned did not wash 2 shirts before school. Therefore, the answer (arabic numerals) is",2,FALSE,calculation,,
"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? 

A: Let's think step by step. Oliver had to wash a total of 39 + 47 = 89 shirts.
He washed 20 of them before school started.
Therefore, he still had to wash 89",66,gpt-3.5-turbo-0301,sbs,"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? 

A: Let's think step by step. Oliver had to wash a total of 39 + 47 = 89 shirts.
He washed 20 of them before school started.
Therefore, he still had to wash 89 - 20 = 69 shirts.
Oliver did not wash 69 shirts. Therefore, the answer (arabic numerals) is",69,FALSE,calculation,,
"Q:  For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? 

A: Let's think step by step. 1. Wendy baked 4 cupcakes and 29 cookies, so she had a total of 4 + 29 = 33 pastries to sell.
2. After the sale, she had 24 pastries left, so she must have sold 33 - 24 = 11 pastries.
3. Therefore, Wendy sold 11",9,gpt-3.5-turbo-0301,sbs,"Q:  For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? 

A: Let's think step by step. 1. Wendy baked 4 cupcakes and 29 cookies, so she had a total of 4 + 29 = 33 pastries to sell.
2. After the sale, she had 24 pastries left, so she must have sold 33 - 24 = 11 pastries.
3. Therefore, Wendy sold 11 pastries at the school bake sale. Therefore, the answer (arabic numerals) is",11,FALSE,calculation,,
"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? 

A: Let's think step by step. 1. Amy had 4 music files and 21 video files on her flash drive.
2. The total number of files on her flash drive is 4 + 21 = 25.
3. Amy deleted 23 of the files.
4. The number of files left on her flash drive is 25 - 23 = 4.
5. Therefore, Amy had 4.",2,gpt-3.5-turbo-0301,sbs,"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? 

A: Let's think step by step. 1. Amy had 4 music files and 21 video files on her flash drive.
2. The total number of files on her flash drive is 4 + 21 = 25.
3. Amy deleted 23 of the files.
4. The number of files left on her flash drive is 25 - 23 = 4.
5. Therefore, Amy had 4. files left on her flash drive after deleting 23 of them. Therefore, the answer (arabic numerals) is",4,FALSE,calculation,,
"Q:  Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? 

A: Let's think step by step. 1. Ned bought 11 games from a friend.
2. Ned bought 22 more games at a garage sale.
3. In total, Ned now has 11 + 22 = 33 games.
4. However, 19 of the games didn't work.
5. To find out how many good games Ned ended up with, we need to subtract the number of games that didn't work from the total number of games: 

33 - 19 = 12

Therefore, Ned ended up with 12",14,gpt-3.5-turbo-0301,sbs,"Q:  Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? 

A: Let's think step by step. 1. Ned bought 11 games from a friend.
2. Ned bought 22 more games at a garage sale.
3. In total, Ned now has 11 + 22 = 33 games.
4. However, 19 of the games didn't work.
5. To find out how many good games Ned ended up with, we need to subtract the number of games that didn't work from the total number of games: 

33 - 19 = 12

Therefore, Ned ended up with 12 good games. Therefore, the answer (arabic numerals) is",12,FALSE,calculation,,
