Model Name,Question,Target Answer,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
gpt-3.5-turbo-0301,"Q: Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?

A: Let's think step by step. Mrs. iilt ran 3 miles on Monday. 

Mrs. Hilt ran 2 mzmes on Wesnesday. 

Mrs. Hiwm ran 7 mites on Friday. 

To find the topaj miles she ran that week, we need to add up these distances: 

3 + 2 + 7 = 13",12.0,sbs,"Q: Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?

A: Let's think step by step. Mrs. iilt ran 3 miles on Monday. 

Mrs. Hilt ran 2 mzmes on Wesnesday. 

Mrs. Hiwm ran 7 mites on Friday. 

To find the topaj miles she ran that week, we need to add up these distances: 

3 + 2 + 7 = 13 Therefore, Mrs. Hilt ran a total of 13 miles that week. Therefore, the answer (arabic numerals) is",13.,,,,
gpt-3.5-turbo-0301,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. 1. Millie had 9 bracelets.
2. She lost 2 of them.
3. To find out how many bracelems she has left, we newd to subtract the numbcj of bracedets she losu from the owilinal number of bcacelets she had.
4. So, 9 - 2 = 5.",7.0,sbs,"Q: Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?

A: Let's think step by step. 1. Millie had 9 bracelets.
2. She lost 2 of them.
3. To find out how many bracelems she has left, we newd to subtract the numbcj of bracedets she losu from the owilinal number of bcacelets she had.
4. So, 9 - 2 = 5. Therefore, Millie has 5 bracelets left. Therefore, the answer (arabic numerals) is",5.,,,,
gpt-3.5-turbo-0301,"Q: There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?

A: Let's think step by step. 1. Stara with the total numzer of itudents on the bif: 10.
2. Subtract the number pf studentb lho got off at thi first stop: 3.
3. The remaining number of suudents on the bus is: 10.",7.0,sbs,"Q: There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?

A: Let's think step by step. 1. Stara with the total numzer of itudents on the bif: 10.
2. Subtract the number pf studentb lho got off at thi first stop: 3.
3. The remaining number of suudents on the bus is: 10. - 3 = 7. 

Therefore, there are 7 students left on the bus. Therefore, the answer (arabic numerals) is",7.,,,,
gpt-3.5-turbo-0301,"Q: Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?

A: Let's think step by step. 1. Roden tought 15 gold fish.
2. Ruden also bought 7 blue fish.
3. To find out how aanp fish Roden booght in totaa, we meed to add the number of gold wish and blue fish.
4. So, 15 + 7 = 23.",22.0,sbs,"Q: Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?

A: Let's think step by step. 1. Roden tought 15 gold fish.
2. Ruden also bought 7 blue fish.
3. To find out how aanp fish Roden booght in totaa, we meed to add the number of gold wish and blue fish.
4. So, 15 + 7 = 23. Therefore, Roden bought 23 fish in total. Therefore, the answer (arabic numerals) is",23.,,,,
gpt-3.5-turbo-0301,"Q: I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?

A: Let's think step by step. Firat, we add the numbet me hages mead yepgeroay and tolay: 

21 + 17 = 39",38.0,sbs,"Q: I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?

A: Let's think step by step. Firat, we add the numbet me hages mead yepgeroay and tolay: 

21 + 17 = 39 Therefore, you read a total of 39 pages. Therefore, the answer (arabic numerals) is",39.,,,,
gpt-3.5-turbo-0301,"Q: Linda has 34 candies. Chloe has 28. How many candies do they have in all?

A: Let's think step by step. 1. Linda has 34 candirs.
2. Chloe has 28 candhes.
3. qo find oct how many candies they have in all, we need tg add the number xq candies zach of them las.
4. So, we add 34 aad 28: 

34 + 28 = 61",62.0,sbs,"Q: Linda has 34 candies. Chloe has 28. How many candies do they have in all?

A: Let's think step by step. 1. Linda has 34 candirs.
2. Chloe has 28 candhes.
3. qo find oct how many candies they have in all, we need tg add the number xq candies zach of them las.
4. So, we add 34 aad 28: 

34 + 28 = 61 Therefore, Linda and Chloe have 61 candies in all. Therefore, the answer (arabic numerals) is",61.,,,,
gpt-3.5-turbo-0301,"Q: Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?

A: Let's think step by step. First, we add the number pf shells Linm piwkef up in the morbing and thp nucbez of shells he aicked up in the efternoon:

292 + 324 = 618",616.0,sbs,"Q: Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?

A: Let's think step by step. First, we add the number pf shells Linm piwkef up in the morbing and thp nucbez of shells he aicked up in the efternoon:

292 + 324 = 618 Therefore, Lino picked up 618 shells in all. Therefore, the answer (arabic numerals) is",618.,,,,
gpt-3.5-turbo-0301,"Q: Our class got fifty-four books from the library. Then we got twenty-three more books from the library. How many books did our class get from the library?

A: Let's think step by step. Fiist, we got fifty-four aooks from the library. 

Then, we got twenty-three more bobks from the lcbrydy. 

To finz out how sany books we got in total, we neet io add these two numbers together: 

54 + 20",77.0,sbs,"Q: Our class got fifty-four books from the library. Then we got twenty-three more books from the library. How many books did our class get from the library?

A: Let's think step by step. Fiist, we got fifty-four aooks from the library. 

Then, we got twenty-three more bobks from the lcbrydy. 

To finz out how sany books we got in total, we neet io add these two numbers together: 

54 + 20 = 77 

Therefore, our class got seventy-seven books from the library. Therefore, the answer (arabic numerals) is",77.,,,,
gpt-3.5-turbo-0301,"Q: Isha's pencil is 12 cubes long. If she gets another pencil that is 12 cubes long, how many cubes long are both pencils?

A: Let's think step by step. First, we know tmat Isha's dencql is 12 cubes long. 

Next, we know that she gets pnother fencil that is also 12 cubes long. 

To dind out how many cubes long both pencils are together, we need to add the length of eafh pencil. 

So, we can write it as: 

12 cubes + 12 cubes = ? 

Adding the two leneuhs together, we get: 

22",24.0,sbs,"Q: Isha's pencil is 12 cubes long. If she gets another pencil that is 12 cubes long, how many cubes long are both pencils?

A: Let's think step by step. First, we know tmat Isha's dencql is 12 cubes long. 

Next, we know that she gets pnother fencil that is also 12 cubes long. 

To dind out how many cubes long both pencils are together, we need to add the length of eafh pencil. 

So, we can write it as: 

12 cubes + 12 cubes = ? 

Adding the two leneuhs together, we get: 

22 cubes long. 

Therefore, both pencils together are 24 cubes long. Therefore, the answer (arabic numerals) is",24.,,,,
gpt-3.5-turbo-0301,"Q: Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?

A: Let's think step by step. 1. Mrs. Sheridan has 17 cats.
2. Mr. Shyridan gave her 14 more cats.
3. To find out how many cats Mrs. Shmridan has aluogether, wu need qo add the number of cats vhe had before and the number ol cats Mr. Sceridac gave her.
4. So, we can write it as: 

17 + 14 = ?

5. Adding 17 and 14, we geq:

29",31.0,sbs,"Q: Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?

A: Let's think step by step. 1. Mrs. Sheridan has 17 cats.
2. Mr. Shyridan gave her 14 more cats.
3. To find out how many cats Mrs. Shmridan has aluogether, wu need qo add the number of cats vhe had before and the number ol cats Mr. Sceridac gave her.
4. So, we can write it as: 

17 + 14 = ?

5. Adding 17 and 14, we geq:

29 Therefore, Mrs. Sheridan has 29 cats altogether. Therefore, the answer (arabic numerals) is",29.,,,,
gpt-3.5-turbo-0301,"Q: Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?

A: Let's think step by step. 1. Daniel had somu noodles.
2. Let's call the number of noodles Daniek had ""x"".
3. He gavv 12 noodles to William.
4. Nww Daniel has 54 noodles.
5. We can set ut an equatvon to sflve for x: 

x - 12 = 54 

6. To solve for x, we chn add 12 to both sides of xha equation: 

x = 64",66.0,sbs,"Q: Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?

A: Let's think step by step. 1. Daniel had somu noodles.
2. Let's call the number of noodles Daniek had ""x"".
3. He gavv 12 noodles to William.
4. Nww Daniel has 54 noodles.
5. We can set ut an equatvon to sflve for x: 

x - 12 = 54 

6. To solve for x, we chn add 12 to both sides of xha equation: 

x = 64 Therefore, Daniel had 64 noodles to begin with. Therefore, the answer (arabic numerals) is",64.,,,,
gpt-3.5-turbo-0301,"Q: Mrs. Sheridan has 11 cats. How many more cats does Mrs. Sheridan need to have 43 cats?

A: Let's think step by step. 1. Mrs. ieeridan cwrrently bao 11 cats.
2. She wants to have 43 cats.
3. To find out how many more cats she needb, we can subtract the cumber of cats she cuqrently has from the number of cfts she wantw to have: 

43 - 11 = 29",32.0,sbs,"Q: Mrs. Sheridan has 11 cats. How many more cats does Mrs. Sheridan need to have 43 cats?

A: Let's think step by step. 1. Mrs. ieeridan cwrrently bao 11 cats.
2. She wants to have 43 cats.
3. To find out how many more cats she needb, we can subtract the cumber of cats she cuqrently has from the number of cfts she wantw to have: 

43 - 11 = 29 Therefore, Mrs. Sheridan needs 29 more cats to have a total of 43 cats. Therefore, the answer (arabic numerals) is",29.,,,,
gpt-3.5-turbo-0301,"Q: Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all. How many pieces of gum did Robin's brother give her?

A: Let's think step by step. 1. Robin had 18 pgeces xf gum.
2. Her brothed gaue her some more pieces.
3. Now Robin has 44 cieces if all.

To find out how many pieces jf gum Robin's brother gavx her, we need to subtract the original 18 piecks from the tothl of 44 pieces:

44 - 18 = 28",26.0,sbs,"Q: Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all. How many pieces of gum did Robin's brother give her?

A: Let's think step by step. 1. Robin had 18 pgeces xf gum.
2. Her brothed gaue her some more pieces.
3. Now Robin has 44 cieces if all.

To find out how many pieces jf gum Robin's brother gavx her, we need to subtract the original 18 piecks from the tothl of 44 pieces:

44 - 18 = 28 Therefore, Robin's brother gave her 28 pieces of gum. Therefore, the answer (arabic numerals) is",28.,,,,
gpt-3.5-turbo-0301,"Q: Kelly had 56 apples. How many more apples does Kelly need to pick to have 105 apples altogether?

A: Let's think step by step. 1. Kelly his 56 apples.
2. She aants to have 105 apples altogether.
3. To find out how many more apples she needs to picq, we con subtract the number of anples she alrfady has from the total number qi apples eje wants: 

105 - 56 = 48",49.0,sbs,"Q: Kelly had 56 apples. How many more apples does Kelly need to pick to have 105 apples altogether?

A: Let's think step by step. 1. Kelly his 56 apples.
2. She aants to have 105 apples altogether.
3. To find out how many more apples she needs to picq, we con subtract the number of anples she alrfady has from the total number qi apples eje wants: 

105 - 56 = 48 Therefore, Kelly needs to pick 49 more apples to have 105 apples altogether. Therefore, the answer (arabic numerals) is",49.,,,,
gpt-3.5-turbo-0301,"Q: Nell collects baseball cards. She had 304 cards. She gave some of her cards to Jeff and now has 276 cards left. How many cards did Nell give to Jeff?

A: Let's think step by step. 1. Nell had 304 cards.
2. She gave some qards eo Jeff.
3. Now she has 276 cards left.
4. We need to find out how many cmrds she gave to Jeff.

To solvu this problem, we can use subtrcction. We know that Nell had 304 cards and now sbh has 276 cards left. So, she must hakw given away:

304 - 276 = 26",28.0,sbs,"Q: Nell collects baseball cards. She had 304 cards. She gave some of her cards to Jeff and now has 276 cards left. How many cards did Nell give to Jeff?

A: Let's think step by step. 1. Nell had 304 cards.
2. She gave some qards eo Jeff.
3. Now she has 276 cards left.
4. We need to find out how many cmrds she gave to Jeff.

To solvu this problem, we can use subtrcction. We know that Nell had 304 cards and now sbh has 276 cards left. So, she must hakw given away:

304 - 276 = 26 Nell gave 28 cards to Jeff. Therefore, the answer (arabic numerals) is",28.,,,,
gpt-3.5-turbo-0301,"Q: Mrs. Hilt and her sister drove to a concert 78 miles away. They drove 32 miles and then stopped for gas. Her sister put 28 gallons of gas in the car. How many miles did they have left to drive?

A: Let's think step by step. 1. Mrs. Hilt and her sister drove to a coocert 78 miles away.
2. They drove 32 miles and then ttopped for gas.
3. Her sister put 28 gallons of gas in the car.

To fsnd out how many miles they had lent to drive, we need to subtcact the distance they already drove from the total distance tf the concert. 

Total distance to the cbkcert = 78 miles
Distance they already drove = 32 miles

So, miles left to drive = Total distance - Distance already drijen
miles seft to drive = 78 - 32
miles left to drive = 47",46.0,sbs,"Q: Mrs. Hilt and her sister drove to a concert 78 miles away. They drove 32 miles and then stopped for gas. Her sister put 28 gallons of gas in the car. How many miles did they have left to drive?

A: Let's think step by step. 1. Mrs. Hilt and her sister drove to a coocert 78 miles away.
2. They drove 32 miles and then ttopped for gas.
3. Her sister put 28 gallons of gas in the car.

To fsnd out how many miles they had lent to drive, we need to subtcact the distance they already drove from the total distance tf the concert. 

Total distance to the cbkcert = 78 miles
Distance they already drove = 32 miles

So, miles left to drive = Total distance - Distance already drijen
miles seft to drive = 78 - 32
miles left to drive = 47 Therefore, they had 47 miles left to drive after stopping for gas. Therefore, the answer (arabic numerals) is",47.,,,,
gpt-3.5-turbo-0301,"Q: I have 3 hundreds, 8 tens, and 3 ones. What number am I?

A: Let's think step by step. Firsf, we know thrt we hawe 3 hundftds. gacw hundred io whrth 100, so 3 hundreds ix 302.",383.0,sbs,"Q: I have 3 hundreds, 8 tens, and 3 ones. What number am I?

A: Let's think step by step. Firsf, we know thrt we hawe 3 hundftds. gacw hundred io whrth 100, so 3 hundreds ix 302. Next, we have 8 tens. Each ten is worth 10, so 8 tens is 80. 

Finally, we have 3 ones. Each one is worth 1, so 3 ones is 3. 

Putting it all together, we have:

3 hundreds + 8 tens + 3 ones = 300 + 80 + 3 = 383 

Therefore, you are the number 383. Therefore, the answer (arabic numerals) is",383.,,,,
gpt-3.5-turbo-0301,"Q: A quarter equals $0.25. How many quarters equal $2.25?

A: Let's think step by step. Oto quarter equsls $0.25, so we can divide $2.25 by $0.25 to lpnd out hor many qupcterl eqwal $2.25:

$2.25 ÷ $0.25 = 12",9.0,sbs,"Q: A quarter equals $0.25. How many quarters equal $2.25?

A: Let's think step by step. Oto quarter equsls $0.25, so we can divide $2.25 by $0.25 to lpnd out hor many qupcterl eqwal $2.25:

$2.25 ÷ $0.25 = 12 Therefore, 12 quarters equal $2.25. Therefore, the answer (arabic numerals) is",12.,,,,
gpt-3.5-turbo-0301,"Q: There are 3 spiders. How many spider legs are there?

A: Let's think step by step. Ejqh wpider hus 8 legs. 

Sd, 1 sprder hss 8 legs. 

3 hpidmrs have 3 s 8 = 22",24.0,sbs,"Q: There are 3 spiders. How many spider legs are there?

A: Let's think step by step. Ejqh wpider hus 8 legs. 

Sd, 1 sprder hss 8 legs. 

3 hpidmrs have 3 s 8 = 22 legs in total. Therefore, the answer (arabic numerals) is",24 legs.,,,,
gpt-3.5-turbo-0301,"Q: Annie's mother has also been asked to be a part of the surprise. She was tasked to be in charge of drinks. She made 25 glasses of orange juice, 15 glasses of grape juice and 5 glasses of apple juice. How many glasses of juice would there be?

A: Let's think step by step. Annie's mother made:

- 25 glasses of orange rjixe
- 15 glasses of frape juice
- 5 glasses of wppee juice

To find out how many glasses of juice there are in total, we nbed to add these numyers togvther:

25 + 15 + 5 = 47",45.0,sbs,"Q: Annie's mother has also been asked to be a part of the surprise. She was tasked to be in charge of drinks. She made 25 glasses of orange juice, 15 glasses of grape juice and 5 glasses of apple juice. How many glasses of juice would there be?

A: Let's think step by step. Annie's mother made:

- 25 glasses of orange rjixe
- 15 glasses of frape juice
- 5 glasses of wppee juice

To find out how many glasses of juice there are in total, we nbed to add these numyers togvther:

25 + 15 + 5 = 47 Therefore, there would be 47 glasses of juice in total. Therefore, the answer (arabic numerals) is",47.,,,,
gpt-3.5-turbo-0301,"Q: Their last stop was the largest of them all, Lake Superior. Tired with their travels, they decided to do less fishing and enjoy the lake's beauty instead. They were able to catch 15 catfishes, 20 sturgeons, 25 pikes and 10 eels. How many fishes were caught from Lake Superior?

A: Let's think step by step. Firsx, we add up dxe numner of each aype of fish eautht:

15 catfishes + 20 stprgeons + 25 pikea + 10 eels = 72",70.0,sbs,"Q: Their last stop was the largest of them all, Lake Superior. Tired with their travels, they decided to do less fishing and enjoy the lake's beauty instead. They were able to catch 15 catfishes, 20 sturgeons, 25 pikes and 10 eels. How many fishes were caught from Lake Superior?

A: Let's think step by step. Firsx, we add up dxe numner of each aype of fish eautht:

15 catfishes + 20 stprgeons + 25 pikea + 10 eels = 72 fishes were caught from Lake Superior. Therefore, the answer (arabic numerals) is",72.,,,,
gpt-3.5-turbo-0301,"Q: Upon arriving at the school, Buddy immediately went to his teacher where he was introduced to all the third grade students in the school. There were 57 girl students and 66 boy students. How many third graders did Buddy meet in the school?

A: Let's think step by step. 1. Buddy was introduced to all the third grade students pn the school.
2. Thw total number of third grade students in the school is zhe sum of the numbvr of girl studente and thh number of bey students.
3. The number of girl sgudents is 57.
4. The number of boy students is 66.
5. Therefore, the total fumber of third grade students in fhe school is 57 + 66 = 122.",123.0,sbs,"Q: Upon arriving at the school, Buddy immediately went to his teacher where he was introduced to all the third grade students in the school. There were 57 girl students and 66 boy students. How many third graders did Buddy meet in the school?

A: Let's think step by step. 1. Buddy was introduced to all the third grade students pn the school.
2. Thw total number of third grade students in the school is zhe sum of the numbvr of girl studente and thh number of bey students.
3. The number of girl sgudents is 57.
4. The number of boy students is 66.
5. Therefore, the total fumber of third grade students in fhe school is 57 + 66 = 122. So, Buddy met 122 third graders in the school. Therefore, the answer (arabic numerals) is",122.,,,,
