Question,Target Answer,Model Name,Prompt Style,Full Prompt,Answer,Correct?,Error Type,Recovery Behavior,Notes
"Q: Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?

A: Let's think step by step. Dan had $4 at the start and was left with $3 after buying the candy bar. To find out how much the candy bar cost, we can subtract the amount he had left from the amount he started with:



$4 - $3 = $-1



So, the candy bar cost $-1",1,gpt-4-0314,sbs,"Q: Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?

A: Let's think step by step. Dan had $4 at the start and was left with $3 after buying the candy bar. To find out how much the candy bar cost, we can subtract the amount he had left from the amount he started with:



$4 - $3 = $-1



So, the candy bar cost $-1 A: Let's think step by step. Dan had $4 at the start and was left with $3 after buying the candy bar. To find out how much the candy bar cost, we can subtract the amount he had left from the amount he started with:

$4 - $3 = $1

So, the candy bar cost $1. Therefore, the answer (arabic numerals) is",1,TRUE,calculation,directly redoes calculation,
"Q: Paul got a box of 65 crayons for his birthday. During the school year he gave 213 crayons to his friends while he lost 16 crayons. How many crayons had been lost or given away?

A: Let's think step by step. 1. Paul got a box of 65 crayons for his birthday.

2. During the school year, he gave 213 crayons to his friends.

3. He also lost 16 crayons.

4. To find out how many crayons had been lost or given away, we need to add the number of crayons given away and the number of crayons lost: 



213 + 16 = 228



Therefore, Paul had given away or lost 228",229,gpt-3.5-turbo-0301,sbs,"Q: Paul got a box of 65 crayons for his birthday. During the school year he gave 213 crayons to his friends while he lost 16 crayons. How many crayons had been lost or given away?

A: Let's think step by step. 1. Paul got a box of 65 crayons for his birthday.

2. During the school year, he gave 213 crayons to his friends.

3. He also lost 16 crayons.

4. To find out how many crayons had been lost or given away, we need to add the number of crayons given away and the number of crayons lost: 



213 + 16 = 228



Therefore, Paul had given away or lost 228 crayons during the school year. Therefore, the answer (arabic numerals) is",228,FALSE,calculation,,
"Q: During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?

A: Let's think step by step. 1. The number of kids who went to camp = 202958
2. The number of kids who stayed home = 777622
3. To find the difference between the two, we subtract the number of kids who went to camp from the number of kids who stayed home:
777622 - 202958 = 574662
4. Therefore, 574662",574664,gpt-3.5-turbo-0301,sbs,"Q: During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?

A: Let's think step by step. 1. The number of kids who went to camp = 202958
2. The number of kids who stayed home = 777622
3. To find the difference between the two, we subtract the number of kids who went to camp from the number of kids who stayed home:
777622 - 202958 = 574662
4. Therefore, 574662 more kids stayed home compared to those who went to camp. Therefore, the answer (arabic numerals) is",574662,FALSE,calculation,,
"Q: Marco and his dad went strawberry picking. Marco's dad's strawberries weighed 11 pounds. If together their strawberries weighed 30 pounds. How much did Marco's strawberries weigh?

A: Let's think step by step. 1. We know that Marco's dad's strawberries weighed 11 pounds.
2. We also know that together their strawberries weighed 30 pounds.
3. To find out how much Marco's strawberries weighed, we can use subtraction.
4. We can subtract 11 pounds (the weight of Marco's dad's strawberries) from 30 pounds (the total weight of their strawberries) to get the weight of Marco's strawberries.
5. 30 pounds - 11 pounds = 18 pounds
6. Therefore, Marco's strawberries weighed 18",19,gpt-3.5-turbo-0301,sbs,"Q: Marco and his dad went strawberry picking. Marco's dad's strawberries weighed 11 pounds. If together their strawberries weighed 30 pounds. How much did Marco's strawberries weigh?

A: Let's think step by step. 1. We know that Marco's dad's strawberries weighed 11 pounds.
2. We also know that together their strawberries weighed 30 pounds.
3. To find out how much Marco's strawberries weighed, we can use subtraction.
4. We can subtract 11 pounds (the weight of Marco's dad's strawberries) from 30 pounds (the total weight of their strawberries) to get the weight of Marco's strawberries.
5. 30 pounds - 11 pounds = 18 pounds
6. Therefore, Marco's strawberries weighed 18 pounds. Therefore, the answer (arabic numerals) is",18,FALSE,calculation,,
"Q: A grocery store had 4 bottles of diet soda. If they had 79 more bottles of regular soda than diet soda How many bottles of regular soda did they have?

A: Let's think step by step. Step 1: We know that the grocery store had 4 bottles of diet soda. 

Step 2: We also know that they had 79 more bottles of regular soda than diet soda. 

Step 3: To find out how many bottles of regular soda they had, we need to add 79 to the number of diet soda bottles. 

Step 4: So, the total number of regular soda bottles is 4 + 79 = 82. 

Therefore, the grocery store had 82.",83,gpt-3.5-turbo-0301,sbs,"Q: A grocery store had 4 bottles of diet soda. If they had 79 more bottles of regular soda than diet soda How many bottles of regular soda did they have?

A: Let's think step by step. Step 1: We know that the grocery store had 4 bottles of diet soda. 

Step 2: We also know that they had 79 more bottles of regular soda than diet soda. 

Step 3: To find out how many bottles of regular soda they had, we need to add 79 to the number of diet soda bottles. 

Step 4: So, the total number of regular soda bottles is 4 + 79 = 82. 

Therefore, the grocery store had 82. bottles of regular soda. Therefore, the answer (arabic numerals) is",82,FALSE,calculation,,
"Q: Faye was placing her pencils and crayons into 7 rows with 36 pencils and 30 crayons in each row. How many crayons does she have?

A: Let's think step by step. First, we need to find out how many pencils Faye has in total. 

To do this, we can use multiplication: 

7 rows x 36 pencils per row = 250 pencils 

So Faye has 250",210,gpt-3.5-turbo-0301,sbs,"Q: Faye was placing her pencils and crayons into 7 rows with 36 pencils and 30 crayons in each row. How many crayons does she have?

A: Let's think step by step. First, we need to find out how many pencils Faye has in total. 

To do this, we can use multiplication: 

7 rows x 36 pencils per row = 250 pencils 

So Faye has 250 pencils. 

Now, we need to find out how many crayons she has. 

Again, we can use multiplication: 

7 rows x 30 crayons per row = 210 crayons 

So Faye has 210 crayons. Therefore, the answer (arabic numerals) is",210,TRUE,calculation,complete hallucination,
"Q: Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many balloons did Allan bring to the park?

A: Let's think step by step. 1. Allan brought 5 balloons to the park.
2. Jake brought 4 balloons to the park.
3. Allan bought 3 more balloons at the park.
4. Therefore, Allan now has 5 + 3 = 9 balloons at the park. 

So, Allan brought 9",8,gpt-3.5-turbo-0301,sbs,"Q: Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many balloons did Allan bring to the park?

A: Let's think step by step. 1. Allan brought 5 balloons to the park.
2. Jake brought 4 balloons to the park.
3. Allan bought 3 more balloons at the park.
4. Therefore, Allan now has 5 + 3 = 9 balloons at the park. 

So, Allan brought 9 balloons to the park. Therefore, the answer (arabic numerals) is",9,FALSE,calculation,,
"Q: There are 3941 skittles in Steven's skittles collection. Steven also has 4950 erasers. If the erasers are organized into 495 groups How big is each group?

A: Let's think step by step. First, we need to find out how many erasers are in each group. We can do this by dividing the total number of erasers by the number of groups:

4950 ÷ 495 = 8

So each group has 8",10,gpt-3.5-turbo-0301,sbs,"Q: There are 3941 skittles in Steven's skittles collection. Steven also has 4950 erasers. If the erasers are organized into 495 groups How big is each group?

A: Let's think step by step. First, we need to find out how many erasers are in each group. We can do this by dividing the total number of erasers by the number of groups:

4950 ÷ 495 = 8

So each group has 8 erasers. Therefore, the answer (arabic numerals) is",8,FALSE,calculation,,
"Q: Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf. How many more action figures than books were on his shelf?

A: Let's think step by step. Step 1: Find the total number of books on the shelf.
Jerry had 2 books on the shelf and later added 4 more books, so the total number of books on the shelf is 2 + 4 = 4.

Step 2: Find the total number of action figures on the shelf.
Jerry had 7 action figures on the shelf.

Step 3: Find the difference between the number of action figures and books.
To find the difference, we subtract the number of books from the number of action figures: 7 - 4.",1,gpt-3.5-turbo-0301,sbs,"Q: Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf. How many more action figures than books were on his shelf?

A: Let's think step by step. Step 1: Find the total number of books on the shelf.
Jerry had 2 books on the shelf and later added 4 more books, so the total number of books on the shelf is 2 + 4 = 4.

Step 2: Find the total number of action figures on the shelf.
Jerry had 7 action figures on the shelf.

Step 3: Find the difference between the number of action figures and books.
To find the difference, we subtract the number of books from the number of action figures: 7 - 4. The difference is 3. Therefore, there were 3 more action figures than books on Jerry's shelf. Therefore, the answer (arabic numerals) is",3,FALSE,calculation,,
"Q: Dave had 59 files and 15 apps on his phone. After deleting some apps and files he had 12 apps and 30 files left. How many apps did he delete?

A: Let's think step by step. 1. Dave had 59 files and 15 apps on his phone.
2. After deleting some apps and files, he had 12 apps and 30 files left.
3. So, he deleted 15 - 12 = 6 apps.
4. And he deleted 59 - 30 = 29 files.
5. Therefore, Dave deleted 6",3,gpt-3.5-turbo-0301,sbs,"Q: Dave had 59 files and 15 apps on his phone. After deleting some apps and files he had 12 apps and 30 files left. How many apps did he delete?

A: Let's think step by step. 1. Dave had 59 files and 15 apps on his phone.
2. After deleting some apps and files, he had 12 apps and 30 files left.
3. So, he deleted 15 - 12 = 6 apps.
4. And he deleted 59 - 30 = 29 files.
5. Therefore, Dave deleted 6 apps from his phone. Therefore, the answer (arabic numerals) is",6,FALSE,calculation,,
"Q: Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework How many pages of reading homework did she have to complete?

A: Let's think step by step. 1. Rachel had to complete 7 pages of math homework.
2. Let's assume she had to complete x pages of reading homework.
3. According to the problem, she had to complete 4 more pages of math homework than reading homework. So, we can write an equation: 

7 = x + 4 

4. Now, we can solve for x: 

7 - 4 = x 

6 = x 

Therefore, Rachel had to complete 6",3,gpt-3.5-turbo-0301,sbs,"Q: Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework How many pages of reading homework did she have to complete?

A: Let's think step by step. 1. Rachel had to complete 7 pages of math homework.
2. Let's assume she had to complete x pages of reading homework.
3. According to the problem, she had to complete 4 more pages of math homework than reading homework. So, we can write an equation: 

7 = x + 4 

4. Now, we can solve for x: 

7 - 4 = x 

6 = x 

Therefore, Rachel had to complete 6 pages of reading homework. Therefore, the answer (arabic numerals) is",6,FALSE,calculation,,
"Q: Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?

A: Let's think step by step. First, we need to add the number of emails Jack received in the afternoon and evening. 

5 + 8 = 14 

So Jack received 14",13,gpt-3.5-turbo-0301,sbs,"Q: Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?

A: Let's think step by step. First, we need to add the number of emails Jack received in the afternoon and evening. 

5 + 8 = 14 

So Jack received 14 emails in the afternoon and evening. Therefore, the answer (arabic numerals) is",14,FALSE,calculation,,
