Model Name,Question,Target Answer,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
gpt-4-0314,"Q:  For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left?

A: Let's think step by step. First, we need to find out how many pieces of candy they had in total. To do this, we add the number of pieces Debby had to the number her sister had: 32 + 42 = <<32+43",39,sbs,"Q:  For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left?

A: Let's think step by step. First, we need to find out how many pieces of candy they had in total. To do this, we add the number of pieces Debby had to the number her sister had: 32 + 42 = <<32+43 A: Let's think step by step. First, we need to find out how many pieces of candy they had in total. To do this, we add the number of pieces Debby had to the number her sister had: 32 + 42 = <<32+42=74>>74 pieces.

Now, we know they ate 35 pieces the first night. So, to find out how many pieces they have left, we subtract the number of pieces they ate from the total number of pieces: 74 - 35 = <<74-35=39>>39 pieces.

So, Debby and her sister have 39 pieces of candy left. Therefore, the answer (arabic numerals) is",39.,copying,True,directly redoes calculation,
gpt-4-0314,"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?

A: Let's think step by step. First, we need to find out how many cats the pet store had in total before the sale. They had 13 Siamese cats and 6",8,sbs,"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?

A: Let's think step by step. First, we need to find out how many cats the pet store had in total before the sale. They had 13 Siamese cats and 6 house cats, so they had 13 + 5 = <<13+5=18>>18 cats in total. Then, they sold 10 cats during the sale. So, they have 18 - 10 = <<18-10=8>>8 cats left. Therefore, the answer (arabic numerals) is",8.,copying,True,complete hallucination,
gpt-4-0314,"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?

A: Let's think step by step. First, we need to find out how many carrots they picked in total. To do this, we add the number of carrots Carol picked to the number of carrots her mom picked: 29 + 16 = <<29+16=45>>45 carrots.

Now we know that 39",7,sbs,"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?

A: Let's think step by step. First, we need to find out how many carrots they picked in total. To do this, we add the number of carrots Carol picked to the number of carrots her mom picked: 29 + 16 = <<29+16=45>>45 carrots.

Now we know that 39 of these carrots were good, so we need to find out how many were bad. To do this, we subtract the number of good carrots from the total number of carrots: 45 - 38 = <<45-38=7>>7 bad carrots. So, they had 7 bad carrots. Therefore, the answer (arabic numerals) is",7.,copying,True,complete hallucination,
gpt-4-0314,"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. First, we need to find out how many pictures Megan took in total. She took 15 pictures at the zoo and 18 at the museum, so she took 15 + 18 = <<15+18=33>>33 pictures in total.

Now, we know that she deleted 32",2,sbs,"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. First, we need to find out how many pictures Megan took in total. She took 15 pictures at the zoo and 18 at the museum, so she took 15 + 18 = <<15+18=33>>33 pictures in total.

Now, we know that she deleted 32 A: Let's think step by step. First, we need to find out how many pictures Megan took in total. She took 15 pictures at the zoo and 18 at the museum, so she took 15 + 18 = <<15+18=33>>33 pictures in total.

Now, we know that she deleted 31 pictures. So, she still has 33 - 31 = <<33-31=2>>2 pictures from her vacation. Therefore, the answer (arabic numerals) is",2.,copying,True,directly redoes calculation,
gpt-4-0314,"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?

A: Let's think step by step. First, we need to find out how many pictures Rachel had in total. To do this, we add the number of pictures in both coloring books: 23 + 32 = <<23+32=55>>55 pictures.

Now, we know that Rachel has already colored 44 pictures. To find out how many pictures she still has to color, we subtract the number of pictures she has colored from the total number of pictures: 55 - 44 = <<56",11,sbs,"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?

A: Let's think step by step. First, we need to find out how many pictures Rachel had in total. To do this, we add the number of pictures in both coloring books: 23 + 32 = <<23+32=55>>55 pictures.

Now, we know that Rachel has already colored 44 pictures. To find out how many pictures she still has to color, we subtract the number of pictures she has colored from the total number of pictures: 55 - 44 = <<56 A: Let's think step by step. First, we need to find out how many pictures Rachel had in total. To do this, we add the number of pictures in both coloring books: 23 + 32 = <<23+32=55>>55 pictures.

Now, we know that Rachel has already colored 44 pictures. To find out how many pictures she still has to color, we subtract the number of pictures she has colored from the total number of pictures: 55 - 44 = <<55-44=11>>11 pictures. Therefore, the answer (arabic numerals) is",11.,copying,True,directly redoes calculation,
gpt-4-0314,"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?

A: Let's think step by step. First, we need to find out how many shirts Oliver had to wash in total. To do this, we add the number of short sleeve shirts (39) to the number of long sleeve shirts (47). So, 39 + 47 = <<40",66,sbs,"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?

A: Let's think step by step. First, we need to find out how many shirts Oliver had to wash in total. To do this, we add the number of short sleeve shirts (39) to the number of long sleeve shirts (47). So, 39 + 47 = <<40 A: Let's think step by step. First, we need to find out how many shirts Oliver had to wash in total. To do this, we add the number of short sleeve shirts (39) to the number of long sleeve shirts (47). So, 39 + 47 = 86 shirts in total.

Now, we know that Oliver washed 20 shirts before school started. To find out how many he did not wash, we subtract the number of washed shirts (20) from the total number of shirts (86). So, 86 - 20 = 66 shirts were not washed. Therefore, the answer (arabic numerals) is",66.,copying,True,directly redoes calculation,
gpt-4-0314,"Q:  While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. First, Debby took 24 pictures at the zoo and 12 at the museum, so she took a total of 24 + 12 = <<24+12=36>>36 pictures.

Then, she deleted 14 of the pictures, so she still had 36 - 14 = <<36-14=22>>23",22,sbs,"Q:  While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. First, Debby took 24 pictures at the zoo and 12 at the museum, so she took a total of 24 + 12 = <<24+12=36>>36 pictures.

Then, she deleted 14 of the pictures, so she still had 36 - 14 = <<36-14=22>>23 A: Let's think step by step. First, Debby took 24 pictures at the zoo and 12 at the museum, so she took a total of 24 + 12 = <<24+12=36>>36 pictures.

Then, she deleted 14 of the pictures, so she still had 36 - 14 = <<36-14=22>>22 pictures. Therefore, the answer (arabic numerals) is",22.,copying,True,directly redoes calculation,
gpt-4-0314,"Q:  Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework?

A: Let's think step by step. First, we need to find out how many problems Faye had in total. To do this, we add the number of math problems and the number of science problems: 46 math problems + 9 science problems = <<46+9=55>>55 problems in total.

Now, we know that Faye finished 40 problems at school. So, to find out how many problems she still has to do for homework, we subtract the number of problems she finished from the total number of problems: 55 problems - 41",15,sbs,"Q:  Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework?

A: Let's think step by step. First, we need to find out how many problems Faye had in total. To do this, we add the number of math problems and the number of science problems: 46 math problems + 9 science problems = <<46+9=55>>55 problems in total.

Now, we know that Faye finished 40 problems at school. So, to find out how many problems she still has to do for homework, we subtract the number of problems she finished from the total number of problems: 55 problems - 41 A: Let's think step by step. First, we need to find out how many problems Faye had in total. To do this, we add the number of math problems and the number of science problems: 46 math problems + 9 science problems = <<46+9=55>>55 problems in total.

Now, we know that Faye finished 40 problems at school. So, to find out how many problems she still has to do for homework, we subtract the number of problems she finished from the total number of problems: 55 problems - 40 problems = <<55-40=15>>15 problems left for homework. Therefore, the answer (arabic numerals) is",15.,copying,True,directly redoes calculation,
gpt-4-0314,"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive?

A: Let's think step by step. First, we need to find out how many files Amy had in total on her flash drive. To do this, we add the number of music files (4) and the number of video files (21): 4 + 21 = <<4+21=25>>26",2,sbs,"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive?

A: Let's think step by step. First, we need to find out how many files Amy had in total on her flash drive. To do this, we add the number of music files (4) and the number of video files (21): 4 + 21 = <<4+21=25>>26 A: Let's think step by step. First, we need to find out how many files Amy had in total on her flash drive. To do this, we add the number of music files (4) and the number of video files (21): 4 + 21 = <<4+21=25>>25

Now, we know that Amy deleted 23 files. To find out how many files are still on her flash drive, we subtract the number of deleted files (23) from the total number of files (25): 25 - 23 = <<25-23=2>>2

So, there are still 2 files on Amy's flash drive. Therefore, the answer (arabic numerals) is",2.,copying,True,directly redoes calculation,
gpt-4-0314,"Q:  Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with?

A: Let's think step by step. First, Ned bought 11 games from a friend and 22 more at a garage sale. So, he bought a total of 11 + 22 = <<11+22=33>>33 games.

Now, we know that 19 of these games didn't work. So, the number of good games he ended up with is 34",14,sbs,"Q:  Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with?

A: Let's think step by step. First, Ned bought 11 games from a friend and 22 more at a garage sale. So, he bought a total of 11 + 22 = <<11+22=33>>33 games.

Now, we know that 19 of these games didn't work. So, the number of good games he ended up with is 34 A: Let's think step by step. First, Ned bought 11 games from a friend and 22 more at a garage sale. So, he bought a total of 11 + 22 = <<11+22=33>>33 games.

Now, we know that 19 of these games didn't work. So, the number of good games he ended up with is 33 - 19 = <<33-19=14>>14 games. Therefore, the answer (arabic numerals) is",14.,copying,True,directly redoes calculation,
