Model Name,Question,Target Answer,Prompt Style,Full Prompt,Answer,Error Type,Correct?,Recovery Behavior,Notes
gpt-4-0314,"Q: Mrs. Hilt had 38 marbles. She lost 15 of them. How many marbles does she have left?

A: Let's think step by step. Mrs. Hilt had 38 marbles and lost 15 of them. To find out how many marbles she has left, we need to subtract the number of marbles she lost from the total number of marbles she had.

So, 38 marbles - 15 marbles = 24 marbles.

Mrs. Hilt has 24",23.0,sbs,"Q: Mrs. Hilt had 38 marbles. She lost 15 of them. How many marbles does she have left?

A: Let's think step by step. Mrs. Hilt had 38 marbles and lost 15 of them. To find out how many marbles she has left, we need to subtract the number of marbles she lost from the total number of marbles she had.

So, 38 marbles - 15 marbles = 24 marbles.

Mrs. Hilt has 24 marbles left. Therefore, the answer (arabic numerals) is",23 marbles.,calculation,True,complete hallucination,
gpt-4-0314,"Q: There are 32 students in the class. The teacher divided them into 5 equal groups. How many students are there in each group?

A: Let's think step by step. First, we need to find out how many students are in each group. To do this, we can divide the total number of students (32) by the number of groups (5).

32 ÷ 5 = 6 with a remainder of 3.

So, there are 6 students in each group, but there are still 3.",6.0,sbs,"Q: There are 32 students in the class. The teacher divided them into 5 equal groups. How many students are there in each group?

A: Let's think step by step. First, we need to find out how many students are in each group. To do this, we can divide the total number of students (32) by the number of groups (5).

32 ÷ 5 = 6 with a remainder of 3.

So, there are 6 students in each group, but there are still 3. students left. To distribute these 3 students equally among the 5 groups, we can add 1 student to 3 of the groups.

So, there will be three groups with 7 students each and two groups with 6 students each. Therefore, the answer (arabic numerals) is","7, 7, 7, 6, 6.",calculation,False,,
gpt-4-0314,"Q: Isabel had sixty-eight pieces of candy. Her friend gave her twenty-five more pieces. How many pieces of candy did Isabel have total?

A: Let's think step by step. Isabel had 68 pieces of candy initially. Her friend gave her 26 more pieces. To find the total number of pieces of candy Isabel has, we need to add the initial number of pieces (68) to the additional number of pieces (26",93.0,sbs,"Q: Isabel had sixty-eight pieces of candy. Her friend gave her twenty-five more pieces. How many pieces of candy did Isabel have total?

A: Let's think step by step. Isabel had 68 pieces of candy initially. Her friend gave her 26 more pieces. To find the total number of pieces of candy Isabel has, we need to add the initial number of pieces (68) to the additional number of pieces (26 ). So, 68 + 25 = 93. Isabel has 93 pieces of candy in total. Therefore, the answer (arabic numerals) is",93.,calculation,True,complete hallucination,
gpt-4-0314,"Q: Savant has 3 jars. He puts in 34 coins in the first jar, 29 coins in the second jar and 13 coins in the third jar. How many coins does Savant save together?

A: Let's think step by step. First, we need to find the total number of coins in all three jars. To do this, we can simply add the number of coins in each jar:

34 coins (in the first jar) + 29 coins (in the second jar) + 13 coins (in the third jar) = 77 coins

So, Savant saves a total of 77",76.0,sbs,"Q: Savant has 3 jars. He puts in 34 coins in the first jar, 29 coins in the second jar and 13 coins in the third jar. How many coins does Savant save together?

A: Let's think step by step. First, we need to find the total number of coins in all three jars. To do this, we can simply add the number of coins in each jar:

34 coins (in the first jar) + 29 coins (in the second jar) + 13 coins (in the third jar) = 77 coins

So, Savant saves a total of 77 coins together. Therefore, the answer (arabic numerals) is",76.,calculation,True,complete hallucination,
gpt-4-0314,"Q: Hazel and her father both love going on fishing trips. This year, they planned to go around the Great Lakes for a unique fishing experience. Their first stop is Lake Ontario. Hazel and her father decided to have a contest between them. If Hazel caught 24 salmons and her dad caught 27, how many salmons did they catch in total?

A: Let's think step by step. Hazel caught 24 salmons and her dad caught 27 salmons. To find the total number of salmons they caught, we need to add the number of salmons Hazel caught to the number of salmons her dad caught. So, 24 salmons + 27 salmons = 52 salmons. They caught 52",51.0,sbs,"Q: Hazel and her father both love going on fishing trips. This year, they planned to go around the Great Lakes for a unique fishing experience. Their first stop is Lake Ontario. Hazel and her father decided to have a contest between them. If Hazel caught 24 salmons and her dad caught 27, how many salmons did they catch in total?

A: Let's think step by step. Hazel caught 24 salmons and her dad caught 27 salmons. To find the total number of salmons they caught, we need to add the number of salmons Hazel caught to the number of salmons her dad caught. So, 24 salmons + 27 salmons = 52 salmons. They caught 52 salmons in total. Therefore, the answer (arabic numerals) is",52.,calculation,False,,
gpt-4-0314,"Q: A store has forty-nine shirts. After selling some there were twenty-eight left. What's the difference between of the number of shirts before selling and after selling?

A: Let's think step by step. The store had 49 shirts initially and then had 28 left after selling some. To find the difference between the number of shirts before and after selling, we can subtract the number of shirts left from the initial number of shirts:

49 (initial number of shirts) - 28 (number of shirts left) = 22

So, the difference between the number of shirts before selling and after selling is 22",21.0,sbs,"Q: A store has forty-nine shirts. After selling some there were twenty-eight left. What's the difference between of the number of shirts before selling and after selling?

A: Let's think step by step. The store had 49 shirts initially and then had 28 left after selling some. To find the difference between the number of shirts before and after selling, we can subtract the number of shirts left from the initial number of shirts:

49 (initial number of shirts) - 28 (number of shirts left) = 22

So, the difference between the number of shirts before selling and after selling is 22 shirts. Therefore, the answer (arabic numerals) is",21,calculation,True,complete hallucination,
gpt-4-0314,"Q: Zachary did 47 push-ups in gym class today. David did 15 more push-ups than Zachary. How many push-ups did David do?

A: Let's think step by step. David did 15 more push-ups than Zachary, who did 47 push-ups. So, David did 47 + 15 = <<47+15=63>>63",62.0,sbs,"Q: Zachary did 47 push-ups in gym class today. David did 15 more push-ups than Zachary. How many push-ups did David do?

A: Let's think step by step. David did 15 more push-ups than Zachary, who did 47 push-ups. So, David did 47 + 15 = <<47+15=63>>63 push-ups. Therefore, the answer (arabic numerals) is",63.,calculation,False,,
gpt-4-0314,"Q: Carl, on the other hand, was able to collect 74 stamps which are 36 more than what Mark was able to collect. How many stamps was Mark able to collect?

A: Let's think step by step. Mark collected M stamps.
Carl collected 36 more stamps than Mark, so Carl collected M + 36 stamps.
We know that Carl collected 74 stamps, so M + 36 = 74.
To find the number of stamps Mark collected, we need to solve for M.
M = 74 - 36
M = 39
So, Mark was able to collect 39",38.0,sbs,"Q: Carl, on the other hand, was able to collect 74 stamps which are 36 more than what Mark was able to collect. How many stamps was Mark able to collect?

A: Let's think step by step. Mark collected M stamps.
Carl collected 36 more stamps than Mark, so Carl collected M + 36 stamps.
We know that Carl collected 74 stamps, so M + 36 = 74.
To find the number of stamps Mark collected, we need to solve for M.
M = 74 - 36
M = 39
So, Mark was able to collect 39 stamps. Therefore, the answer (arabic numerals) is",39.,calculation,False,,
gpt-4-0314,"Q: While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. First, Debby took 24 pictures at the zoo and 12 at the museum, so she took 24 + 12 = <<24+12=37>>37",22.0,sbs,"Q: While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have?

A: Let's think step by step. First, Debby took 24 pictures at the zoo and 12 at the museum, so she took 24 + 12 = <<24+12=37>>37 pictures in total. Then, she deleted 14 pictures, so she still had 37 - 14 = <<37-14=23>>23 pictures from her vacation. Therefore, the answer (arabic numerals) is",23.,calculation,False,,
gpt-4-0314,"Q: Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?

A: Let's think step by step. Cade had 87 marbles and gave 8 to Dylan. To find out how many marbles Cade has left, we need to subtract the number of marbles he gave away from the total number he had.

87 - 8 = 80

Cade has 80",79.0,sbs,"Q: Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?

A: Let's think step by step. Cade had 87 marbles and gave 8 to Dylan. To find out how many marbles Cade has left, we need to subtract the number of marbles he gave away from the total number he had.

87 - 8 = 80

Cade has 80 marbles left. Therefore, the answer (arabic numerals) is",80.,calculation,False,,
